transaction_year	value	donor	donor_iso3	donor_id
1980	28.536792	Norway	NOR	40
1980	28.567985	Switzerland	CHE	47
1982	28.620418	Greece	GRC	74
1983	28.626509	Denmark	DNK	12
1978	28.638013	Luxembourg	LUX	31
1983	28.6494281283	Chile	CHL	3250264
1983	28.656365	New Zealand	NZL	38
1983	28.6834551062	Colombia	COL	76
1975	28.77064	Iceland	ISL	3270662
1978	28.780659	United Kingdom	GBR	51
1982	28.819506	Italy	ITA	28
1986	28.830402	Portugal	PRT	43
1981	28.848526	Spain	ESP	45
1980	28.918343	Greece	GRC	74
1968	29.0755665868	India	IND	4653485
1981	29.181742	Italy	ITA	28
2003	29.2184522677	Brazil	BRA	75
1963	29.2204587489	India	IND	4653485
1977	29.242644	Finland	FIN	17
1982	29.24935	Denmark	DNK	12
2002	29.3307254289	Romania	ROU	91605924
1977	29.368904	Netherlands	NLD	37
1985	29.381881	Netherlands	NLD	37
1980	29.384674	Australia	AUS	5
1979	29.46138	Canada	CAN	8
1983	29.54037	Italy	ITA	28
1983	29.605445	Belgium	BEL	7
1975	29.607237	United States	USA	52
1980	29.7443965353	Cyprus	CYP	91609235
1969	29.7778530475	India	IND	4653485
1985	29.788608	Austria	AUT	6
1977	29.7947178071	United Arab Emirates	ARE	86
1977	29.8516198533	Monaco	MCO	3109127
1984	29.87778	Austria	AUT	6
1981	29.883177	Luxembourg	LUX	31
1984	29.884094	Netherlands	NLD	37
1982	29.895425	New Zealand	NZL	38
1980	29.933629	New Zealand	NZL	38
1984	29.9487307169	Chile	CHL	3250264
1975	29.957415	Sweden	SWE	46
1990	30.4631756093	Chile	CHL	3250264
1989	30.6493407661	Chile	CHL	3250264
1987	30.705756	Australia	AUS	5
1977	30.722892	Germany	DEU	53
1970	30.7734351678	India	IND	4653485
1984	30.885758	France	FRA	18
1979	30.9058990556	United Arab Emirates	ARE	86
1978	30.915675	Finland	FIN	17
1994	31.0115251216	Czech Republic	CZE	40874767
1994	31.0680430215	Colombia	COL	76
1992	31.0865143437	Poland	POL	82
1977	31.0871178102	Saudi Arabia	SAU	60
1981	31.093037	Denmark	DNK	12
1983	31.093536	Australia	AUS	5
1981	31.097016	New Zealand	NZL	38
1978	31.102176	Austria	AUT	6
1979	31.102544	Spain	ESP	45
1977	31.125986	Belgium	BEL	7
1971	31.2878350673	India	IND	4653485
1976	31.306481	United States	USA	52
1978	31.314275	Denmark	DNK	12
1982	31.36426	Belgium	BEL	7
1984	31.386459	Ireland	IRL	29
1994	31.5140893417	Slovak Republic	SVK	83
1986	31.561862	New Zealand	NZL	38
1974	31.588047	Iceland	ISL	3270662
1986	31.615578	Luxembourg	LUX	31
1978	31.620184345	United Arab Emirates	ARE	86
1964	31.6614259698	India	IND	4653485
1985	31.665516	France	FRA	18
2001	31.7671815848	Brazil	BRA	75
1983	31.794628	Austria	AUT	6
1976	31.942668	Sweden	SWE	46
1975	32.04120657	Thailand	THA	85
1983	32.089994312	Romania	ROU	91605924
1984	32.095688	Australia	AUS	5
1985	32.1119677512	Romania	ROU	91605924
1976	32.187533	Iceland	ISL	3270662
1985	32.214744	Ireland	IRL	29
1982	32.215026	Australia	AUS	5
1985	32.236167	Germany	DEU	53
1986	32.260486	Spain	ESP	45
1982	32.307205	Austria	AUT	6
1987	32.3655353054	Israel	ISR	3291156
1980	32.3997026654	Kuwait	KWT	61
1993	32.4160211659	Poland	POL	82
1979	32.438679	Ireland	IRL	29
1972	32.5089514752	India	IND	4653485
1991	32.5712966675	Chile	CHL	3250264
1981	32.625397	Australia	AUS	5
1984	32.632668	Germany	DEU	53
1980	32.641715	Italy	ITA	28
1980	32.728435	Canada	CAN	8
1979	32.730319	Luxembourg	LUX	31
1982	32.7719027738	Romania	ROU	91605924
1981	32.858667	Austria	AUT	6
1980	33.030911	Spain	ESP	45
1983	33.070766	France	FRA	18
1978	33.096892	France	FRA	18
1976	33.1249510987	Thailand	THA	85
1983	33.13759	Netherlands	NLD	37
1987	33.177986	Norway	NOR	40
1982	33.231262	Japan	JPN	30
1977	33.302415	United States	USA	52
1996	33.362049486	Lithuania	LTU	81
1984	33.3719736404	South Africa	ZAF	84
1984	33.3755709991	Monaco	MCO	3109127
1987	33.405167	Portugal	PRT	43
1994	33.76148223	Poland	POL	82
1986	33.800636	Switzerland	CHE	47
1983	33.83425	Ireland	IRL	29
1987	33.841453	Greece	GRC	74
1999	33.9570667054	Kuwait	KWT	61
1980	34.0516624414	United Arab Emirates	ARE	86
2001	34.089049	Australia	AUS	5
2000	34.1252534224	Slovak Republic	SVK	83
1982	34.1392936019	South Africa	ZAF	84
1986	34.1684185314	Romania	ROU	91605924
1979	34.174831	Japan	JPN	30
1996	34.2912429583	Latvia	LVA	79
1977	34.328233	Sweden	SWE	46
1981	34.343366	Ireland	IRL	29
1965	34.3690088409	India	IND	4653485
1984	34.454246	Sweden	SWE	46
1986	34.4555278116	Cyprus	CYP	91609235
1992	34.512079655	Hungary	HUN	78
1983	34.564614	Sweden	SWE	46
1977	34.6146075123	Thailand	THA	85
1978	34.650715	Japan	JPN	30
1980	34.661489764	South Africa	ZAF	84
1982	34.684933	Netherlands	NLD	37
1985	34.8287480942	Monaco	MCO	3109127
1980	34.841136	Japan	JPN	30
1978	34.8853219028	Saudi Arabia	SAU	60
1982	34.918127	Ireland	IRL	29
1983	34.9467679309	Monaco	MCO	3109127
2004	34.959863845	Brazil	BRA	75
1982	34.960421	France	FRA	18
1979	34.979707	Austria	AUT	6
1978	35.083091	Netherlands	NLD	37
1987	35.1164420304	Kuwait	KWT	61
1979	35.116872	Denmark	DNK	12
1983	35.173004	Japan	JPN	30
1981	35.214427	Netherlands	NLD	37
1985	35.310339	Sweden	SWE	46
1973	35.3459753628	India	IND	4653485
1978	35.3724535398	Monaco	MCO	3109127
1999	35.3758034341	Slovak Republic	SVK	83
1980	35.395926	Luxembourg	LUX	31
1981	35.42605	Canada	CAN	8
1979	35.433328	Finland	FIN	17
2001	35.5476671834	Slovak Republic	SVK	83
1980	35.566069	Denmark	DNK	12
1978	35.638947	United States	USA	52
1983	35.655621	Germany	DEU	53
1999	35.7262907833	Brazil	BRA	75
1984	35.753956	United Kingdom	GBR	51
1984	35.771188	Japan	JPN	30
1983	35.825376	Finland	FIN	17
1989	35.871565	Norway	NOR	40
1981	35.877738	Belgium	BEL	7
1988	35.966173	Norway	NOR	40
1985	35.979347	Japan	JPN	30
1984	36.026233	Finland	FIN	17
1993	36.030574875	Hungary	HUN	78
2003	36.0444715467	Romania	ROU	91605924
1982	36.1865285018	Monaco	MCO	3109127
1995	36.2259778908	Kuwait	KWT	61
1988	36.321739	Portugal	PRT	43
1982	36.335696	Germany	DEU	53
1979	36.343459	United Kingdom	GBR	51
1985	36.390789	United Kingdom	GBR	51
2002	36.3918744957	South Africa	ZAF	84
1987	36.6103474404	United Arab Emirates	ARE	86
1980	36.637262312	Chile	CHL	3250264
1986	36.728663	Denmark	DNK	12
1989	36.779654	Portugal	PRT	43
1985	36.79258	Finland	FIN	17
1978	36.812060725	Thailand	THA	85
1987	36.8707597502	South Africa	ZAF	84
2002	36.938928	Australia	AUS	5
1981	36.949046	Japan	JPN	30
2000	36.963443	Australia	AUS	5
1985	36.9691441736	United Arab Emirates	ARE	86
1978	36.983578	Belgium	BEL	7
1978	37.007743	Germany	DEU	53
1979	37.17858521	Saudi Arabia	SAU	60
1988	37.215607	Australia	AUS	5
1986	37.2429128504	United Arab Emirates	ARE	86
1981	37.249087	Germany	DEU	53
1996	37.2805143402	Estonia	EST	77
1978	37.305758	Sweden	SWE	46
1997	37.3446602401	Latvia	LVA	79
1980	37.353947	Ireland	IRL	29
1982	37.466691	Canada	CAN	8
1993	37.607992	Norway	NOR	40
1981	37.6614258962	United Arab Emirates	ARE	86
1988	37.68092	Greece	GRC	74
1989	37.706823	Greece	GRC	74
1981	37.712352	France	FRA	18
1994	37.73112	Norway	NOR	40
1989	37.7491593712	South Africa	ZAF	84
1989	37.7549123601	Romania	ROU	91605924
2000	37.7794286561	Czech Republic	CZE	40874767
1995	37.7851204246	Czech Republic	CZE	40874767
1988	37.8071767704	South Africa	ZAF	84
1998	37.836647	Australia	AUS	5
1987	37.85459	Luxembourg	LUX	31
1996	37.8616946217	Kuwait	KWT	61
1983	37.9095792551	South Africa	ZAF	84
1997	37.9258651712	Czech Republic	CZE	40874767
1980	37.944277	Austria	AUT	6
1988	37.959652846	United Arab Emirates	ARE	86
1987	37.9822968764	Romania	ROU	91605924
1989	37.9968917595	Kuwait	KWT	61
1993	38.024135	Australia	AUS	5
1990	38.0312203936	Kuwait	KWT	61
1995	38.193676515	Hungary	HUN	78
1994	38.2009950742	Hungary	HUN	78
1982	38.247984	Finland	FIN	17
1985	38.255189	Canada	CAN	8
1982	38.283555	Sweden	SWE	46
2000	38.332696309	Colombia	COL	76
1989	38.358463	Luxembourg	LUX	31
1992	38.4092790914	Chile	CHL	3250264
1986	38.415739	Belgium	BEL	7
1981	38.4254614388	South Africa	ZAF	84
2000	38.4264647484	Brazil	BRA	75
1988	38.5512397952	Israel	ISR	3291156
1995	38.557502447	Slovak Republic	SVK	83
1979	38.603773	United States	USA	52
1998	38.64084	Norway	NOR	40
1987	38.6490126767	Cyprus	CYP	91609235
1994	38.6897339925	Kuwait	KWT	61
1979	38.710507	France	FRA	18
1988	38.7175656475	Romania	ROU	91605924
1987	38.729236	Spain	ESP	45
1986	38.754542	Canada	CAN	8
2000	38.825155833	Hungary	HUN	78
1988	38.8531306255	Kuwait	KWT	61
1989	38.8634895464	United Arab Emirates	ARE	86
2001	38.8647819829	Czech Republic	CZE	40874767
1993	38.8994249143	Chile	CHL	3250264
1997	39.0244828584	Slovak Republic	SVK	83
1984	39.055405	Canada	CAN	8
1983	39.055987	United Kingdom	GBR	51
1977	39.089854	Iceland	ISL	3270662
1989	39.1105454036	Israel	ISR	3291156
1986	39.113214	Italy	ITA	28
1981	39.227067	Finland	FIN	17
1981	39.2688464994	Monaco	MCO	3109127
1998	39.3420314552	Latvia	LVA	79
1984	39.3696986392	United Arab Emirates	ARE	86
1999	39.370286	Australia	AUS	5
1979	39.396165	Netherlands	NLD	37
1988	39.510895	Luxembourg	LUX	31
1998	39.524796039	Slovak Republic	SVK	83
1990	39.5440967373	United Arab Emirates	ARE	86
1983	39.651109	Canada	CAN	8
1984	39.683293	Iceland	ISL	3270662
1997	39.7077123968	Lithuania	LTU	81
2000	39.7885686157	Kuwait	KWT	61
1974	39.7996415079	India	IND	4653485
1997	39.8017346902	Hungary	HUN	78
2002	39.8249135904	Slovak Republic	SVK	83
1996	39.8532945382	Hungary	HUN	78
1999	39.867049	Norway	NOR	40
1986	39.888735	Netherlands	NLD	37
1983	39.925874	Iceland	ISL	3270662
1989	39.9748931359	Saudi Arabia	SAU	60
1985	40.035139	Iceland	ISL	3270662
1997	40.1319653556	Estonia	EST	77
1998	40.1915624592	Czech Republic	CZE	40874767
1979	40.2179743689	Thailand	THA	85
1989	40.2906146533	Cyprus	CYP	91609235
1996	40.3086450275	Czech Republic	CZE	40874767
1982	40.3182451517	United Arab Emirates	ARE	86
1987	40.369938	New Zealand	NZL	38
1989	40.39259	Switzerland	CHE	47
1999	40.4642408486	Colombia	COL	76
1987	40.4708149572	Saudi Arabia	SAU	60
1991	40.517651	Norway	NOR	40
1992	40.542013	Australia	AUS	5
1989	40.563752	Australia	AUS	5
2000	40.633524193	Estonia	EST	77
2001	40.660336	New Zealand	NZL	38
1980	40.66572	Finland	FIN	17
2001	40.666799	Norway	NOR	40
1991	40.6871901213	Kuwait	KWT	61
1983	40.8475707848	United Arab Emirates	ARE	86
1982	40.8540557315	Chile	CHL	3250264
1991	40.8632484704	United Arab Emirates	ARE	86
2000	40.866401	Norway	NOR	40
1992	40.8789982617	Kuwait	KWT	61
1998	40.9393672653	Kuwait	KWT	61
1979	40.9463275057	Monaco	MCO	3109127
2002	41.0140512898	Chile	CHL	3250264
1996	41.071473789	Slovak Republic	SVK	83
1990	41.081394	Norway	NOR	40
1993	41.0878175573	Kuwait	KWT	61
1999	41.1459575069	Czech Republic	CZE	40874767
1992	41.1945876016	United Arab Emirates	ARE	86
1976	41.2907006539	India	IND	4653485
2001	41.3399687879	Estonia	EST	77
2003	41.364701803	Colombia	COL	76
2001	41.3839230867	South Africa	ZAF	84
1988	41.3861628184	Cyprus	CYP	91609235
1994	41.415964	Australia	AUS	5
1986	41.449155	Austria	AUT	6
1999	41.4809938698	Latvia	LVA	79
1979	41.533532	Belgium	BEL	7
1997	41.544184	Norway	NOR	40
1987	41.671978	Switzerland	CHE	47
1998	41.6847051491	Hungary	HUN	78
1985	41.7619260346	Kuwait	KWT	61
2000	41.7721709666	Latvia	LVA	79
1995	41.7959488152	Colombia	COL	76
1994	41.8137933874	Chile	CHL	3250264
1993	41.9389021614	United Arab Emirates	ARE	86
1980	41.945927	Netherlands	NLD	37
2001	41.9668038606	Hungary	HUN	78
1978	41.969545	Iceland	ISL	3270662
1992	41.971786	Norway	NOR	40
1990	41.980637	Australia	AUS	5
1988	42.0074373188	Saudi Arabia	SAU	60
1979	42.031776	Germany	DEU	53
2001	42.0363409786	Latvia	LVA	79
2000	42.046091	New Zealand	NZL	38
1980	42.123373	United States	USA	52
1984	42.2760023874	Kuwait	KWT	61
1995	42.3634106107	United Arab Emirates	ARE	86
1985	42.383233	Korea	KOR	40497946
1979	42.430469	Sweden	SWE	46
1994	42.4748965581	United Arab Emirates	ARE	86
1987	42.53117	Canada	CAN	8
2003	42.5918244777	Chile	CHL	3250264
1991	42.725837	Australia	AUS	5
1982	42.750093	United Kingdom	GBR	51
1999	42.8317711421	Hungary	HUN	78
2001	42.8552122978	Chile	CHL	3250264
1986	42.873386	United Kingdom	GBR	51
1995	43.019033	Australia	AUS	5
1990	43.1585623484	Saudi Arabia	SAU	60
1997	43.1664431572	Kuwait	KWT	61
1986	43.203554	France	FRA	18
1995	43.291272	Norway	NOR	40
1980	43.322029	Belgium	BEL	7
1995	43.414598428	Poland	POL	82
1998	43.4192341998	Colombia	COL	76
2002	43.4215099158	Latvia	LVA	79
1980	43.446706	France	FRA	18
1986	43.478248	Ireland	IRL	29
1988	43.50873	Spain	ESP	45
2002	43.5175634213	Qatar	QAT	65
1980	43.5725294931	Thailand	THA	85
1998	43.6342635476	Estonia	EST	77
1988	43.642762	Switzerland	CHE	47
1986	43.668243	Korea	KOR	40497946
1996	43.7398876846	Colombia	COL	76
1992	43.870888	New Zealand	NZL	38
1981	43.966985	Sweden	SWE	46
1999	43.996860714	Estonia	EST	77
1996	44.0187522977	United Arab Emirates	ARE	86
1999	44.1365438692	United Arab Emirates	ARE	86
2001	44.174421	Luxembourg	LUX	31
1996	44.261032	Norway	NOR	40
1985	44.3244031122	Thailand	THA	85
1998	44.4111919561	Lithuania	LTU	81
1980	44.415707	Germany	DEU	53
2002	44.4439721834	Kuwait	KWT	61
1997	44.6465	Australia	AUS	5
1981	44.7848485107	Kuwait	KWT	61
2003	44.8473833989	Qatar	QAT	65
2002	44.8555867491	Colombia	COL	76
1990	44.869097142	South Africa	ZAF	84
1977	44.8715555094	India	IND	4653485
1990	44.8845114546	Israel	ISR	3291156
1975	44.912684515	India	IND	4653485
2002	44.9848	Norway	NOR	40
1986	45.113275	Germany	DEU	53
1993	45.160277	New Zealand	NZL	38
2000	45.1811623534	Lithuania	LTU	81
2003	45.202214	Australia	AUS	5
2002	45.276771	New Zealand	NZL	38
1979	45.316981	Iceland	ISL	3270662
1986	45.3222074044	Kuwait	KWT	61
2005	45.3829315377	Brazil	BRA	75
1980	45.3869912356	Monaco	MCO	3109127
1986	45.424669	Sweden	SWE	46
2000	45.439705	Luxembourg	LUX	31
2004	45.4596212778	Romania	ROU	91605924
1982	45.513424	Iceland	ISL	3270662
1987	45.529664	Denmark	DNK	12
2001	45.5334132612	Qatar	QAT	65
1990	45.5721892327	Cyprus	CYP	91609235
2001	45.6046394257	Lithuania	LTU	81
2000	45.728142492	Chile	CHL	3250264
1989	45.755129	Spain	ESP	45
1999	45.8478521567	Lithuania	LTU	81
1981	45.852424	United Kingdom	GBR	51
2001	45.8573894905	Colombia	COL	76
1990	45.938379	Portugal	PRT	43
1991	46.019128272	Israel	ISR	3291156
1981	46.07112	United States	USA	52
1981	46.0824214653	Thailand	THA	85
1998	46.0977473189	United Arab Emirates	ARE	86
1991	46.178694	Luxembourg	LUX	31
2002	46.3134138879	Estonia	EST	77
1990	46.355477	Luxembourg	LUX	31
1991	46.411977	New Zealand	NZL	38
1996	46.436189	Australia	AUS	5
1989	46.443832	New Zealand	NZL	38
1997	46.4462389748	Colombia	COL	76
1989	46.459429	Denmark	DNK	12
1997	46.5583888574	United Arab Emirates	ARE	86
1990	46.618013	Greece	GRC	74
1987	46.741869	Belgium	BEL	7
1986	46.7704540919	Thailand	THA	85
2000	46.85378	Switzerland	CHE	47
1989	46.980421	Netherlands	NLD	37
1986	47.116032	Finland	FIN	17
1980	47.1626743137	Saudi Arabia	SAU	60
1981	47.1757703748	Chile	CHL	3250264
2000	47.1821543802	South Africa	ZAF	84
2002	47.2475835424	Czech Republic	CZE	40874767
1999	47.346079372	Chile	CHL	3250264
1982	47.3791872803	Thailand	THA	85
1991	47.3913808616	Cyprus	CYP	91609235
1989	47.435563	Belgium	BEL	7
2002	47.455977	Luxembourg	LUX	31
2001	47.466542	Switzerland	CHE	47
1980	47.629301	United Kingdom	GBR	51
2003	47.6598560602	Kuwait	KWT	61
1987	47.666281	Italy	ITA	28
1986	47.6694999567	Monaco	MCO	3109127
1990	47.776185	New Zealand	NZL	38
1999	47.843528	New Zealand	NZL	38
2000	47.8631588618	United Arab Emirates	ARE	86
1988	47.878639	Canada	CAN	8
1987	47.898018	Netherlands	NLD	37
2001	47.9666899522	Kuwait	KWT	61
1980	48.046407	Sweden	SWE	46
1988	48.081061	Denmark	DNK	12
1998	48.250901	New Zealand	NZL	38
2000	48.259288	Spain	ESP	45
1982	48.3321509257	Kuwait	KWT	61
1994	48.3612264424	Saudi Arabia	SAU	60
1988	48.364768	New Zealand	NZL	38
2004	48.3760971623	Colombia	COL	76
1983	48.4173168087	Kuwait	KWT	61
1997	48.4464835322	Poland	POL	82
1998	48.460395	Canada	CAN	8
1988	48.498682	Belgium	BEL	7
1991	48.531125	Greece	GRC	74
1999	48.5535402242	Saudi Arabia	SAU	60
1991	48.5673615307	South Africa	ZAF	84
1987	48.6084265778	Thailand	THA	85
2003	48.6661449791	Latvia	LVA	79
1993	48.7470935842	Cyprus	CYP	91609235
1991	48.796671075	Saudi Arabia	SAU	60
1995	48.8324226686	Saudi Arabia	SAU	60
2001	48.862628	Spain	ESP	45
1987	48.864287	Korea	KOR	40497946
1982	48.881501	United States	USA	52
2000	49.0219842411	Poland	POL	82
1996	49.0779476675	Brazil	BRA	75
1999	49.21605	Canada	CAN	8
2001	49.320584	Greece	GRC	74
1987	49.329573	Ireland	IRL	29
2002	49.4277294023	Lithuania	LTU	81
1988	49.735382	Netherlands	NLD	37
1990	49.753999	Switzerland	CHE	47
1983	49.7755576812	Thailand	THA	85
1993	49.7865338672	Israel	ISR	3291156
2000	49.796499	Greece	GRC	74
1991	49.856463	Portugal	PRT	43
1993	49.8939346167	Saudi Arabia	SAU	60
2002	49.914942	Canada	CAN	8
1996	49.974092985	Poland	POL	82
2001	50.010883	Canada	CAN	8
1999	50.0542605185	South Africa	ZAF	84
1994	50.17755	Canada	CAN	8
1993	50.192855	Luxembourg	LUX	31
1984	50.1968019644	Thailand	THA	85
1987	50.206381	United Kingdom	GBR	51
1994	50.23793	New Zealand	NZL	38
1986	50.2890304717	Saudi Arabia	SAU	60
1992	50.3005146771	Saudi Arabia	SAU	60
1995	50.3601600258	Chile	CHL	3250264
1986	50.405911	Iceland	ISL	3270662
1992	50.4627684844	Israel	ISR	3291156
1981	50.548803	Iceland	ISL	3270662
1978	50.5585152063	India	IND	4653485
2004	50.5688195312	Kuwait	KWT	61
1988	50.652297	Italy	ITA	28
1993	50.669804	Greece	GRC	74
1999	50.6715057759	Poland	POL	82
1993	50.7892179679	India	IND	4653485
1991	50.806445	Switzerland	CHE	47
1983	50.814543	United States	USA	52
1992	50.863589565	Cyprus	CYP	91609235
1992	50.903894	Luxembourg	LUX	31
2003	50.9904197563	Slovak Republic	SVK	83
1998	51.005107	Luxembourg	LUX	31
1980	51.026991	Iceland	ISL	3270662
1989	51.046055	Italy	ITA	28
1995	51.05261	Canada	CAN	8
1989	51.069186	Austria	AUT	6
2001	51.0763185396	Thailand	THA	85
1987	51.081471	France	FRA	18
1987	51.110898	Austria	AUT	6
1994	51.1386885531	Israel	ISR	3291156
2004	51.1440086673	Chile	CHL	3250264
1989	51.214893	Ireland	IRL	29
2001	51.246196	Denmark	DNK	12
2000	51.2652935329	Cyprus	CYP	91609235
2000	51.340759	Canada	CAN	8
1998	51.3448318851	Chile	CHL	3250264
1998	51.3567513805	South Africa	ZAF	84
1989	51.356838	France	FRA	18
2000	51.437252	Denmark	DNK	12
1999	51.495085	Luxembourg	LUX	31
2001	51.5103304476	Cyprus	CYP	91609235
1993	51.52033	Switzerland	CHE	47
1994	51.6297023097	Cyprus	CYP	91609235
1998	51.6490758069	Thailand	THA	85
1996	51.6843201555	Saudi Arabia	SAU	60
2000	51.722315	Portugal	PRT	43
2002	51.748372	Switzerland	CHE	47
1988	51.7675099939	Thailand	THA	85
1999	51.849887	Switzerland	CHE	47
1986	51.852815	Japan	JPN	30
2002	51.8725539696	Hungary	HUN	78
1997	51.945408	Luxembourg	LUX	31
2010	51.9898313628	Taiwan	TWN	3298046
1997	52.048785	Canada	CAN	8
2001	52.058042	Portugal	PRT	43
1998	52.0771921878	Poland	POL	82
2002	52.0947447497	United Arab Emirates	ARE	86
1989	52.100855	Canada	CAN	8
1988	52.140474	Ireland	IRL	29
2003	52.215268	Norway	NOR	40
1979	52.2298413205	India	IND	4653485
1996	52.27442	Canada	CAN	8
1993	52.366695	Canada	CAN	8
2001	52.396476	Italy	ITA	28
2000	52.411789	Italy	ITA	28
2001	52.520536	Belgium	BEL	7
2004	52.6673123488	Qatar	QAT	65
1984	52.72349	United States	USA	52
1992	52.915642	Switzerland	CHE	47
2000	52.96073	Belgium	BEL	7
2000	53.165185	Netherlands	NLD	37
1988	53.17411	Austria	AUT	6
2004	53.185113	Australia	AUS	5
1988	53.204583	France	FRA	18
1992	53.254859	Greece	GRC	74
1994	53.272215	Greece	GRC	74
2001	53.272644	Sweden	SWE	46
2004	53.3160443438	Latvia	LVA	79
2001	53.3480546874	United Arab Emirates	ARE	86
1987	53.517935	Sweden	SWE	46
1996	53.518228168	Chile	CHL	3250264
1998	53.5723153422	Brazil	BRA	75
1997	53.5775094146	Brazil	BRA	75
1993	53.607998	Portugal	PRT	43
1998	53.624675	Switzerland	CHE	47
2002	53.65814	Spain	ESP	45
1994	53.661012	Luxembourg	LUX	31
2002	53.665985	Greece	GRC	74
1994	53.782222	Spain	ESP	45
2001	53.795859	France	FRA	18
1997	53.825027	Switzerland	CHE	47
2002	53.9194213877	Thailand	THA	85
1999	53.931779	Spain	ESP	45
1989	53.9605526827	Thailand	THA	85
2000	54.0153770381	Saudi Arabia	SAU	60
1997	54.0563623909	Chile	CHL	3250264
2003	54.0591539857	United Arab Emirates	ARE	86
1994	54.2320658437	India	IND	4653485
2000	54.267417	France	FRA	18
2001	54.2846	Netherlands	NLD	37
2001	54.293174	Austria	AUT	6
1985	54.319402	United States	USA	52
1993	54.4155175938	South Africa	ZAF	84
1992	54.4181172356	South Africa	ZAF	84
2006	54.4509754971	Brazil	BRA	75
1993	54.505891	Spain	ESP	45
2005	54.5792194192	Latvia	LVA	79
1990	54.6347	Canada	CAN	8
1997	54.695679	Spain	ESP	45
1992	54.8384689446	India	IND	4653485
1998	54.938113	Spain	ESP	45
1991	54.9405398794	India	IND	4653485
2000	54.986021	Austria	AUT	6
1985	54.9973587592	Saudi Arabia	SAU	60
1993	55.044105	Finland	FIN	17
1989	55.106461	Germany	DEU	53
1992	55.161795	Canada	CAN	8
2002	55.328996	Denmark	DNK	12
1997	55.3567785221	Saudi Arabia	SAU	60
1987	55.483794	Germany	DEU	53
1986	55.520115	United States	USA	52
1990	55.572053	Netherlands	NLD	37
1994	55.645674	Portugal	PRT	43
1991	55.808568	Netherlands	NLD	37
2001	55.8157509074	Poland	POL	82
2000	55.8258036288	Thailand	THA	85
2002	56.0775819778	Cyprus	CYP	91609235
1991	56.092983	Denmark	DNK	12
2003	56.1594514663	South Africa	ZAF	84
2004	56.2606626453	United Arab Emirates	ARE	86
2003	56.2886514937	Czech Republic	CZE	40874767
2003	56.2932618125	Thailand	THA	85
1993	56.320579	Italy	ITA	28
1994	56.336512	Switzerland	CHE	47
2002	56.378241	Belgium	BEL	7
2000	56.42077	Finland	FIN	17
1998	56.4380296512	Saudi Arabia	SAU	60
1990	56.454082	Denmark	DNK	12
2001	56.480627	Finland	FIN	17
1996	56.5131246462	South Africa	ZAF	84
1993	56.62171	Denmark	DNK	12
1994	56.6316649191	South Africa	ZAF	84
1998	56.6571004623	India	IND	4653485
1995	56.815887	New Zealand	NZL	38
2002	56.831377	Portugal	PRT	43
1994	56.832533	Italy	ITA	28
2005	56.8624508277	Kuwait	KWT	61
2002	56.907427	Italy	ITA	28
1987	56.984475	Finland	FIN	17
1997	56.9937636279	South Africa	ZAF	84
1989	57.002503	United Kingdom	GBR	51
1990	57.031311	Spain	ESP	45
2001	57.0580297461	India	IND	4653485
1987	57.131729	United States	USA	52
2002	57.1499524719	India	IND	4653485
1991	57.34129	Canada	CAN	8
1999	57.4195261496	Cyprus	CYP	91609235
1990	57.492189	Belgium	BEL	7
2002	57.515592	Sweden	SWE	46
2005	57.52013	Australia	AUS	5
1990	57.5221004722	Thailand	THA	85
1997	57.5298870051	Cyprus	CYP	91609235
1999	57.575766	Greece	GRC	74
1996	57.5973594086	India	IND	4653485
1995	57.6265251809	Israel	ISR	3291156
1988	57.640137	Germany	DEU	53
1995	57.7070096286	India	IND	4653485
1989	57.7219490245	Monaco	MCO	3109127
2003	57.765475	New Zealand	NZL	38
2003	57.793181	Canada	CAN	8
2000	57.7956324188	India	IND	4653485
1993	57.801697	Ireland	IRL	29
1988	57.853467	United Kingdom	GBR	51
1987	57.8549152725	Monaco	MCO	3109127
1998	57.855734	Greece	GRC	74
2002	57.859347	France	FRA	18
1991	57.865664	Belgium	BEL	7
1999	57.868057	Denmark	DNK	12
1999	57.914605	Portugal	PRT	43
2002	57.946337	Austria	AUT	6
2002	57.9542478051	Poland	POL	82
1984	58.0207917584	Saudi Arabia	SAU	60
1997	58.02695	Portugal	PRT	43
2004	58.080107	Norway	NOR	40
2003	58.1249928854	Estonia	EST	77
2002	58.2489058267	Saudi Arabia	SAU	60
2000	58.270749	Ireland	IRL	29
2001	58.39855	Germany	DEU	53
1998	58.4856157621	Cyprus	CYP	91609235
1993	58.511357	Netherlands	NLD	37
1998	58.559943	Portugal	PRT	43
2005	58.5793214324	Romania	ROU	91605924
1994	58.59275	Denmark	DNK	12
1999	58.6426530666	India	IND	4653485
2005	58.660743416	Qatar	QAT	65
1991	58.759857	Ireland	IRL	29
2005	58.7820051523	Colombia	COL	76
2000	58.815733	Sweden	SWE	46
2004	58.8307961493	Thailand	THA	85
1988	58.877709	Sweden	SWE	46
1988	58.92799	Korea	KOR	40497946
1995	59.034419	Italy	ITA	28
1999	59.04238	Netherlands	NLD	37
1997	59.065206	New Zealand	NZL	38
1988	59.094176	United States	USA	52
1995	59.1289272139	Cyprus	CYP	91609235
2002	59.307079	Netherlands	NLD	37
1998	59.322363	Denmark	DNK	12
1990	59.333192	Ireland	IRL	29
2000	59.424094	Germany	DEU	53
1999	59.439045	Italy	ITA	28
