transaction_year	value	donor	donor_iso3	donor_id
1973	15.36177	Italy	ITA	28
1962	15.3708989172	Chile	CHL	3250264
1975	15.5767542655	Israel	ISR	3291156
1970	15.596906	Sweden	SWE	46
1972	15.644295	Ireland	IRL	29
1977	15.7116891938	Hungary	HUN	78
1974	15.845088	Norway	NOR	40
1977	15.9537517214	Israel	ISR	3291156
1970	15.994917	Canada	CAN	8
1972	16.218385	Belgium	BEL	7
1973	16.2393111481	South Africa	ZAF	84
1972	16.38488	United Kingdom	GBR	51
1960	16.405704	United States	USA	52
1974	16.4149561325	Israel	ISR	3291156
1972	16.477607	France	FRA	18
1965	16.488936	Iceland	ISL	3270662
1974	16.51764	Italy	ITA	28
1971	16.523494	Iceland	ISL	3270662
1961	16.5488045176	Israel	ISR	3291156
1961	16.589485	United States	USA	52
1975	16.590587	Switzerland	CHE	47
1973	16.7253	Luxembourg	LUX	31
1973	16.725737	Austria	AUT	6
1977	16.7700426567	Colombia	COL	76
1962	16.815485	United States	USA	52
1974	16.829492	Greece	GRC	74
1976	16.84099037	Israel	ISR	3291156
1973	16.953341	Australia	AUS	5
1971	16.961326	Sweden	SWE	46
1963	16.994856	United States	USA	52
1976	17.027534	New Zealand	NZL	38
1971	17.106629	Canada	CAN	8
1973	17.189559	Denmark	DNK	12
1973	17.195513	Japan	JPN	30
1975	17.214153	New Zealand	NZL	38
1973	17.219556	New Zealand	NZL	38
1972	17.242838	Germany	DEU	53
1973	17.247083	United Kingdom	GBR	51
1964	17.257868	United States	USA	52
1976	17.3048494698	Cyprus	CYP	91609235
1974	17.341281	Portugal	PRT	43
1978	17.361743336	Hungary	HUN	78
1965	17.572139	United States	USA	52
1976	17.604647	Switzerland	CHE	47
1974	17.679607	New Zealand	NZL	38
1973	17.684656	Ireland	IRL	29
1976	17.722128	Italy	ITA	28
1975	17.835306	Greece	GRC	74
1973	17.905107	Finland	FIN	17
1974	17.914426	Ireland	IRL	29
1961	17.9253344651	Thailand	THA	85
1976	17.92933	Spain	ESP	45
1975	17.947125	Spain	ESP	45
1966	18.070056	United States	USA	52
1976	18.206559	Greece	GRC	74
1966	18.213298	Iceland	ISL	3270662
1967	18.222965	Iceland	ISL	3270662
1975	18.23678	Norway	NOR	40
1977	18.355014	Switzerland	CHE	47
1973	18.454578	Netherlands	NLD	37
1984	18.4778244051	Hungary	HUN	78
1972	18.479651	Canada	CAN	8
1967	18.626411	United States	USA	52
1964	18.7002493448	Thailand	THA	85
1962	18.7470894505	Thailand	THA	85
1977	18.802961552	Cyprus	CYP	91609235
1976	18.810834	Norway	NOR	40
1971	18.8165375392	Chile	CHL	3250264
1985	18.8334713249	Hungary	HUN	78
