participating_org	donor_organizations_id	donor_organizations	donor_groups_id	donor_groups
Investissemement privé libanais (7)		NGO/Other	142309408	NGO/Other
Investissemement privé tanzanien (1)		NGO/Other	142309408	NGO/Other
Investissement privé allemand (1)		NGO/Other	142309408	NGO/Other
Investissement privé américain (3)		NGO/Other	142309408	NGO/Other
Investissement privé bahaméen (1)		NGO/Other	142309408	NGO/Other
Investissement privé belge (12)		NGO/Other	142309408	NGO/Other
Investissement privé britanique (15)		NGO/Other	142309408	NGO/Other
Investissement privé canadien (2)		NGO/Other	142309408	NGO/Other
Investissement privé centrafricain (1)		NGO/Other	142309408	NGO/Other
Investissement privé chinois (5)		NGO/Other	142309408	NGO/Other
Investissement privé congolais (79)		NGO/Other	142309408	NGO/Other
Investissement privé émiratie (1)		NGO/Other	142309408	NGO/Other
Investissement privé français (9)		NGO/Other	142309408	NGO/Other
Investissement privé gambien (1)		NGO/Other	142309408	NGO/Other
Investissement privé ghanéen (1)		NGO/Other	142309408	NGO/Other
Investissement privé gilbratar (1)		NGO/Other	142309408	NGO/Other
Investissement privé guernesey (1)		NGO/Other	142309408	NGO/Other
Investissement privé hellenique (2)		NGO/Other	142309408	NGO/Other
Investissement privé indien (14)		NGO/Other	142309408	NGO/Other
Investissement privé israëlien (1)		NGO/Other	142309408	NGO/Other
Investissement privé italien (2)		NGO/Other	142309408	NGO/Other
Investissement privé luxembourgois (1)		NGO/Other	142309408	NGO/Other
Investissement privé mauricien (1)		NGO/Other	142309408	NGO/Other
Investissement privé néerlandais (1)		NGO/Other	142309408	NGO/Other
Investissement privé nigérian (2)		NGO/Other	142309408	NGO/Other
Investissement privé pakistanais (1)		NGO/Other	142309408	NGO/Other
Investissement privé portugais (1)		NGO/Other	142309408	NGO/Other
Investissement privé sénégalais (2)		NGO/Other	142309408	NGO/Other
Investissement privé sud africain (5)		NGO/Other	142309408	NGO/Other
Investissement privé sud coréen (4)		NGO/Other	142309408	NGO/Other
Investissement privé swazilandais (1)		NGO/Other	142309408	NGO/Other
Investissement privé togolais (1)		NGO/Other	142309408	NGO/Other
Investissement privé turque (1)		NGO/Other	142309408	NGO/Other
Investissement privé ukrainien (1)		NGO/Other	142309408	NGO/Other
Investissement privé zambien (1)		NGO/Other	142309408	NGO/Other
Investissemnt privé béninois (2)		NGO/Other	142309408	NGO/Other
Investssement privé autrichien (2)		NGO/Other	142309408	NGO/Other
Iran		Iran	110593697	Middle East
Ireland	29	Ireland	110593622	Europe
Irish Aid	29	Ireland	110593622	Europe
Irlande	29	Ireland	110593622	Europe
ISCOS		NGO/Other	142309408	NGO/Other
Islamic Development Bank	27	Islamic Development Bank (ISDB)	120834146	Multilaterals
Islamic Development Bank (IDB)	27	Islamic Development Bank (ISDB)	120834146	Multilaterals
Islamic Relief		NGO/Other	142309408	NGO/Other
Italian Cooperation	28	Italy	110593622	Europe
Italian Ministry of Foreign Affairs	28	Italy	110593622	Europe
Italy	28	Italy	110593622	Europe
J.P. MORGAN		NGO/Other	142309408	NGO/Other
Janet Craig		NGO/Other	142309408	NGO/Other
Japan	30	Japan	110593473	Far East Asia
Japan Fund for Poverty Reduction	30	Japan	110593473	Far East Asia
Japan International Cooperation Agency	30	Japan	110593473	Far East Asia
Japan International Cooperation Agency (jica)	30	Japan	110593473	Far East Asia
Japan International Cooperation Agency (JICA)	30	Japan	110593473	Far East Asia
Japan International Cooperation Agenecy (JICA)	30	Japan	110593473	Far East Asia
Japan_Loan	30	Japan	110593473	Far East Asia
Japanese International Cooperation Agency (JICA)	30	Japan	110593473	Far East Asia
Japanese Non Project Grant Aid	30	Japan	110593473	Far East Asia
JapanKR2	30	Japan	110593473	Far East Asia
Japon	30	Japan	110593473	Far East Asia
JAPON	30	Japan	110593473	Far East Asia
Jersey Overseas Aid (joa)		Jersey	110593622	Europe
JICA - Japan International Cooperation Agency	30	Japan	110593473	Far East Asia
Joint United Nations Programme on HIV/AIDS	73	Joint United Nations Programme on HIV/AIDS (UNAIDS)	120834146	Multilaterals
Kazakistan		Kazakhstan	110593741	South & Central Asia
KFW	53	Germany	110593622	Europe
KINDER MISSION		NGO/Other	142309408	NGO/Other
Korea	40497946	Korea	110593473	Far East Asia
Korea International Cooperation Agency	40497946	Korea	110593473	Far East Asia
Korean International Cooperation Agency	40497946	Korea	110593473	Far East Asia
Kredistanst FW (20)	53	Germany	110593622	Europe
Kreditanstalt für Wiederaufbau	53	Germany	110593622	Europe
Kreditanstalt für Wiederaufbau (KfW)	53	Germany	110593622	Europe
Kuwait	61	Kuwait	110593697	Middle East
Kuwait Fund	61	Kuwait	110593697	Middle East
Kuwait fund for Arab Economic development	61	Kuwait	110593697	Middle East
Kuwait Fund for Development	61	Kuwait	110593697	Middle East
Latvia	79	Latvia	110593622	Europe
Law and Order Trust Fund	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
Lignes budgétaires Commission Européenne (193)	96659733	European Union	110593622	Europe
Lithuania	81	Lithuania	110593622	Europe
Local Initiative For Education International (life)		NGO/Other	142309408	NGO/Other
Lux-Development	31	Luxembourg	110593622	Europe
Luxemburg	31	Luxembourg	110593622	Europe
MADAGASCAR		Madagascar	110593687	Africa, South of Sahara
March Against Poverty		NGO/Other	142309408	NGO/Other
Margaret A. Cargill Foundation		NGO/Other	142309408	NGO/Other
Maroc		NGO/Other	142309408	NGO/Other
Médecins Sans Frontières Belgique		NGO/Other	142309408	NGO/Other
Media Service Nepal		NGO/Other	142309408	NGO/Other
MEDICOR FOUNDATION		NGO/Other	142309408	NGO/Other
MERCY CORPS		NGO/Other	142309408	NGO/Other
MEXICO		Mexico	110593551	North & Central America
Micronutrient Initiative		NGO/Other	142309408	NGO/Other
MICRONUTRIMENT INITIATIVE		NGO/Other	142309408	NGO/Other
Ministère Chinois des Affaires Etrangères	110593672	China	110593473	Far East Asia
Ministère de Coopération Economique et du Développement (1)	53	Germany	110593622	Europe
Ministère des Affaires Entragères Thailandaise (1)	85	Thailand	110593473	Far East Asia
Ministère des Affaires Etragères Luxembourgeoises	31	Luxembourg	110593622	Europe
Ministère des Affaires Etranères de la Slovenie	93521853	Slovenia	110593622	Europe
Ministère des Affaires Etrangères Allemande (1)	53	Germany	110593622	Europe
Ministère des Affaires Etrangères d'Australie (4)	5	Australia	110593648	Oceania
Ministère des Affaires Etrangères d'Irlande (8)	29	Ireland	110593622	Europe
Ministère des Affaires Etrangères de Danmark (13)	12	Denmark	110593622	Europe
Ministère des Affaires Etrangères de Finlande (10)	17	Finland	110593622	Europe
Ministère des Affaires Etrangères de la Grèce	74	Greece	110593622	Europe
Ministère des Affaires Etrangères de la Grèce (4)	74	Greece	110593622	Europe
Ministère des Affaires Etrangères de la Norvège (20)	40	Norway	110593622	Europe
Ministère des Affaires Etrangères de la République Tchèque (3)	40874767	Czech Republic	110593622	Europe
Ministère des affaires étrangères de la Suède	46	Sweden	110593622	Europe
Ministère des Affaires Etrangères de Pologne (2)	110593558	Poland	110593622	Europe
Ministère des affaires Etrangères Italiennes	28	Italy	110593622	Europe
Ministère des Affaires Etrangères Japonaises	30	Japan	110593473	Far East Asia
Ministère des Affaires Etrangères Luxembourg (2)	31	Luxembourg	110593622	Europe
Ministère des Affaires Etrangères Néerlandaise	37	Netherlands	110593622	Europe
Ministère des Affaires Etrangères Norvégienne	40	Norway	110593622	Europe
Ministère des Affaires Etrangères Saoudien	60	Saudi Arabia	110593697	Middle East
Ministère des Finances (1478)		Unknown		Unknown
Ministerio de Industria y Comercio de España	45	Spain	110593622	Europe
Ministerio de Relaciones Exteriores, Comercio y Desarrollo de Canadá	8	Canada	110593551	North & Central America
Ministry of Agriculture Development		Unknown		Unknown
Ministry of Energy		Unknown		Unknown
Ministry of Federal Affairs and Local Development		Unknown		Unknown
Ministry of Finance		Unknown		Unknown
Ministry of Foreign Affairs and Cooperation		Unknown		Unknown
Ministry of Forest and Soil Conservation		Unknown		Unknown
Ministry of Haj and Religious Affairs		Unknown		Unknown
Ministry of Health		Unknown		Unknown
Ministry of Industry		Unknown		Unknown
Ministry of Labour & Employment		Unknown		Unknown
Ministry of Land Reform and Management		Unknown		Unknown
Ministry of Mines & Petroleum		Unknown		Unknown
Ministry of Public Works		Unknown		Unknown
Ministry of Science, Technology and Environment		Unknown		Unknown
Ministry of Social Solidarity		Unknown		Unknown
MISEREOR		NGO/Other	142309408	NGO/Other
MISIONEROS COLOMBIANOS DE ITALIA		NGO/Other	142309408	NGO/Other
Mission  des Nations Unies pour la Stabilisation et Consolidation de la paix (1)	112064776	United Nations	120834146	Multilaterals
Mission East		NGO/Other	142309408	NGO/Other
MISSION PROKURA INTERNATIONAL		NGO/Other	142309408	NGO/Other
Monaco	3109127	Monaco	110593622	Europe
Montreal Protocol	34	Multilateral Fund for the Implementation of the Montreal Protocol	120834146	Multilaterals
Multilateral Grant		Multilateral, Unspecified	120834146	Multilaterals
Municipalité métropolitaine d'Istanbul (1)		Turkey	110593622	Europe
Museum of World Religions		NGO/Other	142309408	NGO/Other
National Committee for the UN Women in Australia	50163269	United Nations Development Fund for Women	120834146	Multilaterals
National Democratic Institute (ndi)		NGO/Other	142309408	NGO/Other
NATIONAL GEOGRAPHIC FOUNDATION		NGO/Other	142309408	NGO/Other
National Women's Commission		NGO/Other	142309408	NGO/Other
Nepal Electricitiy Authority		NGO/Other	142309408	NGO/Other
Nepal Youth Foundation		NGO/Other	142309408	NGO/Other
NESTLE		NGO/Other	142309408	NGO/Other
Netherlands	37	Netherlands	110593622	Europe
Netherlands Organization for International Development and Cooperation	37	Netherlands	110593622	Europe
New Zealand	38	New Zealand	110593648	Oceania
New Zealand Aid Programme, Ministry of Foreign Affairs and Trade	38	New Zealand	110593648	Oceania
Nigeria		Nigeria	110593687	Africa, South of Sahara
NIKE Foundation		NGO/Other	142309408	NGO/Other
Non spécifié		Unknown		Unknown
Noolaynta Naruurada Mustaqbalka		NGO/Other	142309408	NGO/Other
Nordic Development Fund	36	Nordic Development Fund (NDF)	120834146	Multilaterals
Norlha-Helping People in the Himalayas		NGO/Other	142309408	NGO/Other
Norvège	40	Norway	110593622	Europe
Norwagian Embassy	40	Norway	110593622	Europe
Norway	40	Norway	110593622	Europe
Norway Ministry of Foreign Affairs	40	Norway	110593622	Europe
Norwegian Agency for Development Cooperation (NORAD)	40	Norway	110593622	Europe
Not Applicable		Unknown		Unknown
Noviv		NGO/Other	142309408	NGO/Other
NUFFIC		NGO/Other	142309408	NGO/Other
OAK		NGO/Other	142309408	NGO/Other
OCEANS 5		NGO/Other	142309408	NGO/Other
OCHA		UN Office for the Coordination of Humanitarian Affairs (OCHA)	120834146	Multilaterals
Ofda (office Of Foreign Disaster Assistance)	52	United States	110593551	North & Central America
Office d'aide humanitaire de la Commission européenne (80)	96659733	European Union	110593622	Europe
Office du Haut Commissaire des Nations Unies pour les Droits de l'Homme	53435546	Office of the United Nations High Commissioner for Human Rights (OHCHR)	120834146	Multilaterals
Office of Food for Peace	52	United States	110593551	North & Central America
Office of Foreign Disaster Assistance	52	United States	110593551	North & Central America
Office of the President		Unknown		Unknown
Office of the United Nations High Commissioner for	53435546	Office of the United Nations High Commissioner for Human Rights (OHCHR)	120834146	Multilaterals
Office of the United Nations High Commissioner for Human Rights	53435546	Office of the United Nations High Commissioner for Human Rights (OHCHR)	120834146	Multilaterals
Office of the United Nations High Commissioner for Refugees	51947246	United Nations High Commissioner for Refugees (UNHCR)	120834146	Multilaterals
Officer of the Vice Prime Minister, Coordinator of Social Affairs		Unknown		Unknown
OFICINA DE LAS NACIONES UNIDAS CONTRA LAS DROGAS Y EL DELITO - UNODC	110592803	UN Office on Drugs and Crime (UNODC)	120834146	Multilaterals
Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos	53435546	Office of the United Nations High Commissioner for Human Rights (OHCHR)	120834146	Multilaterals
Oficina para la Coordinación de Asuntos Humanitarios		UN Office for the Coordination of Humanitarian Affairs (OCHA)	120834146	Multilaterals
OFICINA PARA LA COORDINACION DE ASUNTOS HUMANITARIOS - OCHA		UN Office for the Coordination of Humanitarian Affairs (OCHA)	120834146	Multilaterals
Ohchr	53435546	Office of the United Nations High Commissioner for Human Rights (OHCHR)	120834146	Multilaterals
ONU-SIDA	73	Joint United Nations Programme on HIV/AIDS (UNAIDS)	120834146	Multilaterals
ONUFEMMES	50163269	United Nations Development Fund for Women	120834146	Multilaterals
ONUSIDA	73	Joint United Nations Programme on HIV/AIDS (UNAIDS)	120834146	Multilaterals
ONUSIDA/Programme des Nations Unies sur le VIH/SIDA (23)	73	Joint United Nations Programme on HIV/AIDS (UNAIDS)	120834146	Multilaterals
OPEC	41	OPEC Fund for International Development (OFID)	120834146	Multilaterals
OPEC Fund for Inernational Development	41	OPEC Fund for International Development (OFID)	120834146	Multilaterals
Open Society Initiative for West Africa (OSIWA)		NGO/Other	142309408	NGO/Other
OPEN SOCIETY INSTITUTE - OSI		NGO/Other	142309408	NGO/Other
Organisation des Nations Unies pour l'alimentation et l'agriculture	110592794	UN Food and Agriculture Organization (FAO)	120834146	Multilaterals
Organisation des Nations Unies pour l'alimentation et l'agriculture (162)	110592794	UN Food and Agriculture Organization (FAO)	120834146	Multilaterals
Organisation des Nations Unies pour la science et l'éducation (78)	50305993	United Nations Educational, Scientific and Cultural Organisation (UNESCO)	120834146	Multilaterals
Organisation des Pays Exportateurs de Pétrole	41	OPEC Fund for International Development (OFID)	120834146	Multilaterals
Organisation internationale du travail (45)		International Labour Organization (ILO)	120834146	Multilaterals
Organisation Mondiale de la Santé	50000004	World Health Organization (WHO)	120834146	Multilaterals
Organisation mondiale de la santé (42)	50000004	World Health Organization (WHO)	120834146	Multilaterals
Organisation of Petroleum Exporting Countries	41	OPEC Fund for International Development (OFID)	120834146	Multilaterals
Organismo Internacional de Energía Atómica		NGO/Other	142309408	NGO/Other
Organización de Estados Iberoamericanos		Multilateral, Unspecified	120834146	Multilaterals
ORGANIZACION DE ESTADOS IBEROAMERICANOS - OEI		Multilateral, Unspecified	120834146	Multilaterals
Organización de las Naciones Unidas para la Agricultura y la Alimentación	110592794	UN Food and Agriculture Organization (FAO)	120834146	Multilaterals
Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura	50305993	United Nations Educational, Scientific and Cultural Organisation (UNESCO)	120834146	Multilaterals
Organización Holandesa de Cooperación al Desarrollo	37	Netherlands	110593622	Europe
Organización Internacional del Trabajo		International Labour Organization (ILO)	120834146	Multilaterals
Organización Internacional para las Migraciones	64008061	International Organisation for Migration (IOM)	120834146	Multilaterals
ORGANIZACION INTERNACIONAL PARA LAS MIGRACIONES - OIM		International Organization for Migration (IOM)	120834146	Multilaterals
ORGANIZACION PANAMERICA DE SALUD - OPS/ORGANIZACION MUNDIAL DE LA SALUD - OMS	50000004	World Health Organization (WHO)	120834146	Multilaterals
Organización Panamericana de la Salud	50000004	World Health Organization (WHO)	120834146	Multilaterals
Organization of the Petroleum Exporting Countries	41	OPEC Fund for International Development (OFID)	120834146	Multilaterals
Oxfam		NGO/Other	142309408	NGO/Other
PAISES BAJOS	37	Netherlands	110593622	Europe
PANOS		NGO/Other	142309408	NGO/Other
Patsy Collins Trust Initiative		NGO/Other	142309408	NGO/Other
Pays Bas	37	Netherlands	110593622	Europe
Peacebuilding Fund	92178918	United Nations Peacebuilding Fund (UNPBF)	120834146	Multilaterals
PLAN INTERNACIONAL ALEMANIA	57541109	Plan International	142309408	NGO/Other
PLAN INTERNACIONAL CANADA	57541109	Plan International	142309408	NGO/Other
PLAN INTERNACIONAL SUECIA	57541109	Plan International	142309408	NGO/Other
Plan Nepal	57541109	Plan International	142309408	NGO/Other
PMU Inter Life		NGO/Other	142309408	NGO/Other
PNUD EEC DRC Elections 36204 (1)		NGO/Other	142309408	NGO/Other
PNUD PAF - UNAIDS Fund 11940 (1)	73	Joint United Nations Programme on HIV/AIDS (UNAIDS)	120834146	Multilaterals
PNUD TRAC1.1.1 (1)		NGO/Other	142309408	NGO/Other
PNUD Trac1.1.2 (1)		NGO/Other	142309408	NGO/Other
Poland	110593558	Poland	110593622	Europe
Pooled Fund Humanitaire (142)		UN Office for the Coordination of Humanitarian Affairs (OCHA)	120834146	Multilaterals
Population Services International Nepal	62634985	Population Services International (PSI)	142309408	NGO/Other
PORTICUS		NGO/Other	142309408	NGO/Other
Portugal	43	Portugal	110593622	Europe
Practical Action		NGO/Other	142309408	NGO/Other
Preferential Trade Area for Eastern and Southern Africa		Unknown		Unknown
Private Citizen		NGO/Other	142309408	NGO/Other
Private Contribution		NGO/Other	142309408	NGO/Other
PRIVE		NGO/Other	142309408	NGO/Other
Programa Conjunto de Las Naciones unidas Sobre el VIH/SIDA	73	Joint United Nations Programme on HIV/AIDS (UNAIDS)	120834146	Multilaterals
Programa de las Naciones Unidas para el Desarrollo	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO - PNUD/PROGRAMA DE LAS NACIONES UNIDAS - UNDP	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
Programa de las Naciones Unidas para el Medio Ambiente	50849215	United Nations Environment Programme (UNEP)	120834146	Multilaterals
Programa Mundial de Alimentos	50335414	World Food Programme	120834146	Multilaterals
PROGRAMA MUNDIAL DE ALIMENTOS - PMA	50335414	World Food Programme	120834146	Multilaterals
Programme Alimentaire Mondial	50335414	World Food Programme	120834146	Multilaterals
Programme alimentaire mondial (22)	50335414	World Food Programme	120834146	Multilaterals
Programme des Nations Unies pour l'Environnement	50849215	United Nations Environment Programme (UNEP)	120834146	Multilaterals
Programme des Nations Unies pour le Développement	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
Programme des Nations Unies pour le Développement (384)	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
Programme des Nations Unies pour les établissements humains (3)	55299894	United Nations Human Settlements Programme	120834146	Multilaterals
Qatar Charity		NGO/Other	142309408	NGO/Other
Reach Out To Asia (ROTA)		NGO/Other	142309408	NGO/Other
Région Abruzo	28	Italy	110593622	Europe
REINO UNIDO	51	United Kingdom	110593622	Europe
Republic Of Ireland	29	Ireland	110593622	Europe
Republic of Korea	40497946	Korea	110593473	Far East Asia
République Tchéque	40874767	Czech Republic	110593622	Europe
Roots of Peace		NGO/Other	142309408	NGO/Other
Rotary International		NGO/Other	142309408	NGO/Other
Royaume d'Arabie Saoudite	60	Saudi Arabia	110593697	Middle East
Russian Government		Russia	110593622	Europe
S.G. Finances (2)		NGO/Other	142309408	NGO/Other
SAARC Development Fund		Multilateral, Unspecified	120834146	Multilaterals
SamWhan Corporation		NGO/Other	142309408	NGO/Other
Saudi Arabia	60	Saudi Arabia	110593697	Middle East
Saudi Development Fund	60	Saudi Arabia	110593697	Middle East
Saudi Fund for Development	60	Saudi Arabia	110593697	Middle East
Save the Children	142359318	Save the Children	142309408	NGO/Other
Secretaría de Justicia y Derechos Humanos		Unknown		Unknown
Secretary of State for Professional Training and Employment Policy		Unknown		Unknown
Servicio Holandés de Cooperación al Desarrollo	37	Netherlands	110593622	Europe
SERVICIO LATINOAMERICANO		NGO/Other	142309408	NGO/Other
SETEM		NGO/Other	142309408	NGO/Other
Shelter Afrique		NGO/Other	142309408	NGO/Other
Sida	46	Sweden	110593622	Europe
SIN FUENTE		Unknown		Unknown
SINGAPUR		Singapore	110593741	South & Central Asia
Slovakia	83	Slovak Republic	110593622	Europe
SODEXO FRANCIA		NGO/Other	142309408	NGO/Other
Solidarités		NGO/Other	142309408	NGO/Other
Somali Stability Fund		Multilateral, Unspecified	120834146	Multilaterals
SONEES		Unknown		Unknown
SOS Kinderdorf International		NGO/Other	142309408	NGO/Other
South Asian Association For Regional Cooperation		NGO/Other	142309408	NGO/Other
South Korea	40497946	Korea	110593473	Far East Asia
Spain	45	Spain	110593622	Europe
Spanish Agency for International Cooperation (AECI)	45	Spain	110593622	Europe
Spanish Agency for International Development Cooperation	45	Spain	110593622	Europe
Stichting Nederlandse Vrijwilligers		NGO/Other	142309408	NGO/Other
Stichting Oxfam Novib		NGO/Other	142309408	NGO/Other
SUECIA	46	Sweden	110593622	Europe
Suède	46	Sweden	110593622	Europe
Suisse	47	Switzerland	110593622	Europe
SUIZA	47	Switzerland	110593622	Europe
Sweden	46	Sweden	110593622	Europe
Swedish International Development Agency (SIDA)	46	Sweden	110593622	Europe
Swedish International Development Cooperation Agency	46	Sweden	110593622	Europe
SWIFT FOUNDATION		NGO/Other	142309408	NGO/Other
Swiss Agency for Development and Cooperation	47	Switzerland	110593622	Europe
Swiss Agency for Development and Cooperation (SDC)	47	Switzerland	110593622	Europe
SWISSAID	47	Switzerland	110593622	Europe
Switzerland	47	Switzerland	110593622	Europe
Terre Solidali Onlus		NGO/Other	142309408	NGO/Other
TETRA PAK SUECIA		NGO/Other	142309408	NGO/Other
Thailand	85	Thailand	110593473	Far East Asia
THE ASHMORE FOUNDATION		NGO/Other	142309408	NGO/Other
The Global Alliance for Vaccination and Immunisation(GAVI) (29)	40001644	Global Alliance for Vaccines & Immunization (GAVI)	120834146	Multilaterals
The Global Fund to Fight AIDS, Tuberculosis and Malaria	67	Global Fund to Fight Aids, Tuberculosis and Malaria (GFATM)	120834146	Multilaterals
The ISIS Foundation		NGO/Other	142309408	NGO/Other
THE NATIONAL ACADEMIES		NGO/Other	142309408	NGO/Other
The People's Republic of China	110593672	China	110593473	Far East Asia
The United Nations Economic and Social Commission for Asia and the Pacific	110592790	UN Economic and Social Commission for Asia and the Pacific (ESCAP)	120834146	Multilaterals
THE WALTON FAMILY FOUNDATION		NGO/Other	142309408	NGO/Other
Thematic Trust Fund for Poverty Reduction	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
TINKER FOUNDATION		NGO/Other	142309408	NGO/Other
TOYOTA		NGO/Other	142309408	NGO/Other
TROCAIRE		NGO/Other	142309408	NGO/Other
Trust Found (Banque Mondiale) (3)	112064771	World Bank	120834146	Multilaterals
Trust Fund of the Integrated Framework (IF) for Trade-Related Technical Assistance to Least-Developed Countries [IF Trust Fund]		Multilateral, Unspecified	120834146	Multilaterals
Turkish Armed Forces		Turkey	110593622	Europe
Turkish International Cooperation & Development Agency		Turkey	110593622	Europe
TURQUIA		Turkey	110593622	Europe
U. DE CORNELL		NGO/Other	142309408	NGO/Other
U. S. Centre for Disease Control	52	United States	110593551	North & Central America
U.S. Agency for International Development	52	United States	110593551	North & Central America
U.S. Department of States	52	United States	110593551	North & Central America
UAE	86	United Arab Emirates	110593697	Middle East
UEMOA		Multilateral, Unspecified	120834146	Multilaterals
UK DFID	51	United Kingdom	110593622	Europe
UK Government	51	United Kingdom	110593622	Europe
UK-Foreign Commonwealth Office	51	United Kingdom	110593622	Europe
UK-Ministry of Foreign Affairs	51	United Kingdom	110593622	Europe
UN Assistance Mission for Afghanistan	112064776	United Nations	120834146	Multilaterals
UN Foundation		NGO/Other	142309408	NGO/Other
UN Human Security Trust Fund	112064776	United Nations	120834146	Multilaterals
Un Ocha		UN Office for the Coordination of Humanitarian Affairs (OCHA)	120834146	Multilaterals
Un Rc Office	112064776	United Nations	120834146	Multilaterals
UN Women	50163269	United Nations Development Fund for Women	120834146	Multilaterals
Un-habitat	55299894	United Nations Human Settlements Programme	120834146	Multilaterals
UNA-USA		NGO/Other	142309408	NGO/Other
UNAIDS	73	Joint United Nations Programme on HIV/AIDS (UNAIDS)	120834146	Multilaterals
Uncdf	40557594	United Nations Capital Development Fund (UNCDF)	120834146	Multilaterals
UNDG.ITF		Multilateral, Unspecified	120834146	Multilaterals
Undp	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
UNDP	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
UNDP.TTF (funded by EU)	96659733	European Union	110593622	Europe
UNESCO	50305993	United Nations Educational, Scientific and Cultural Organisation (UNESCO)	120834146	Multilaterals
Unfpa	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
UNFPA	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
Unhcr	51947246	United Nations High Commissioner for Refugees (UNHCR)	120834146	Multilaterals
UNHCR	51947246	United Nations High Commissioner for Refugees (UNHCR)	120834146	Multilaterals
Unicef		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
UNICEF		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
UNICEF Autres Ressources (29)		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
UNICEF Core Resources		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
UNICEF Fonds d'urgence (19)		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
UNICEF Fonds des Nations Unies pour l'Enfance (52)		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
UNICEF NATCOMs		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Unicef National Committee- Estonia		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Unicef National Committee- Germany		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Unicef National Committee- Italy		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Unicef National Committee- Japan		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Unicef National Committee- Korea		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Unicef National Committee- Netherlands		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Unicef National Committee- Switzerland		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Unicef National Committee- United Kingdom		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Unicef- Consolidated National Committees		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Unicredit Bank de Austria AG		NGO/Other	142309408	NGO/Other
UNIDO	4246633	United Nations Industrial Development Organization (UNIDO)	120834146	Multilaterals
UNION AFRICAINE	51316427	African Union	120834146	Multilaterals
UNION EUROPEA	96659733	European Union	110593622	Europe
Unión Europea	96659733	European Union	110593622	Europe
UNION EUROPEA - UE	96659733	European Union	110593622	Europe
UNION EUROPEA - UE/COMISION EUROPEA AYUDA HUMANITARIA - ECHO	96659733	European Union	110593622	Europe
UNION EUROPEA -UE	96659733	European Union	110593622	Europe
Union Européenne/FED	96659733	European Union	110593622	Europe
Unisdr	57492339	United Nations International Strategy for Disaster Reduction	120834146	Multilaterals
United Arab Of Emirates	86	United Arab Emirates	110593697	Middle East
United Kingdom	51	United Kingdom	110593622	Europe
United Kingdom (DFID)	51	United Kingdom	110593622	Europe
United Kingdom of Great Britain and Northern Ireland	51	United Kingdom	110593622	Europe
United Nation Office of High Commissioner for Human Rights	53435546	Office of the United Nations High Commissioner for Human Rights (OHCHR)	120834146	Multilaterals
United Nations	112064776	United Nations	120834146	Multilaterals
United Nations Capital Development Fund	40557594	United Nations Capital Development Fund (UNCDF)	120834146	Multilaterals
United Nations Children's Fund		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
United Nations Democracy Fund	62	United Nations Democracy Fund (UNDEF)	120834146	Multilaterals
United Nations Development Fund for Women	50163269	United Nations Development Fund for Women	120834146	Multilaterals
United Nations Development Program	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
United Nations Development Programme	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
United Nations Educational, Scientific and Cultural Organization	50305993	United Nations Educational, Scientific and Cultural Organisation (UNESCO)	120834146	Multilaterals
United Nations Environment Programme	50849215	United Nations Environment Programme (UNEP)	120834146	Multilaterals
United Nations Fund for Population Activities	49	United Nations Population Fund (UNFPA)	120834146	Multilaterals
United Nations High Commissioner for Refugees	51947246	United Nations High Commissioner for Refugees (UNHCR)	120834146	Multilaterals
United Nations Human Settlements Programme	55299894	United Nations Human Settlements Programme	120834146	Multilaterals
United Nations International Stragegy for Disaster Reduction	57492339	United Nations International Strategy for Disaster Reduction	120834146	Multilaterals
