participating_org	donor_organizations_id	donor_organizations	donor_groups_id	donor_groups
Central Emergency Response Fund (cerf)	110593425	Central Emergency Response Fund	120834146	Multilaterals
CENTRO LATINOAMERICANO PARA EL DESARROLLO RURAL - RIMISP		NGO/Other	142309408	NGO/Other
CEPBU		NGO/Other	142309408	NGO/Other
CEPSA - COMPAÑIA ESPAÑOLA DE PETROLEOS S.A.U.		NGO/Other	142309408	NGO/Other
CHAÎNE DU BONHEUR		NGO/Other	142309408	NGO/Other
CHEVRON		NGO/Other	142309408	NGO/Other
CHILDREN INTERNATIONAL		NGO/Other	142309408	NGO/Other
CHILDREN OF THE ANDES		NGO/Other	142309408	NGO/Other
CHILE	3250264	Chile	110593749	South America
CHINA	110593672	China	110593473	Far East Asia
China	110593672	China	110593473	Far East Asia
Christian Aid		NGO/Other	142309408	NGO/Other
CISV		NGO/Other	142309408	NGO/Other
CITI FOUNDATION		NGO/Other	142309408	NGO/Other
Climate Investment Fund		Multilateral, Unspecified	120834146	Multilaterals
COCA COLA		NGO/Other	142309408	NGO/Other
Collectivités Locales		NGO/Other	142309408	NGO/Other
Colombo Plan		NGO/Other	142309408	NGO/Other
COMARCA RENANA DE NEUSS		NGO/Other	142309408	NGO/Other
Combined Security Transition Command - Afghanistan (CSTC-A)		Multilateral, Unspecified	120834146	Multilaterals
Comitato Collaborazione Medica		NGO/Other	142309408	NGO/Other
COMITE INTERNACIONAL PARA EL DESARROLLO DE LOS PUEBLOS - CISP		NGO/Other	142309408	NGO/Other
Commission de l'Union Européenne	96659733	European Union	110593622	Europe
Commission des Nations Unies pour la Consolidation de la Paix	112064776	United Nations	120834146	Multilaterals
Commission Européenne (197)	96659733	European Union	110593622	Europe
Common Humanitarian Fund (chf)		NGO/Other	142309408	NGO/Other
Compagnie Bancaire Afrique de Ouest		NGO/Other	142309408	NGO/Other
Concern Worldwide		NGO/Other	142309408	NGO/Other
CONEXION COLOMBIA		NGO/Other	142309408	NGO/Other
Conférence Mondiale des Religions pour la Paix		NGO/Other	142309408	NGO/Other
CONSERVATION INTERNATIONAL		NGO/Other	142309408	NGO/Other
Cooperación Suiza para el Desarrollo y la Cooperación	47	Switzerland	110593622	Europe
Coopération Belge	7	Belgium	110593622	Europe
Coopération Chinoise	110593672	China	110593473	Far East Asia
Coopération Espagnole	45	Spain	110593622	Europe
Coopération Française	18	France	110593622	Europe
Coopération Italienne	28	Italy	110593622	Europe
Coopération Japonaise	30	Japan	110593473	Far East Asia
Coopération Néerlandaise	37	Netherlands	110593622	Europe
Coopération Technique Belge	7	Belgium	110593622	Europe
Coopération Technique Suisse (1)	47	Switzerland	110593622	Europe
Cordaid		NGO/Other	142309408	NGO/Other
COREA	40497946	Korea	110593473	Far East Asia
Corée du Sud	40497946	Korea	110593473	Far East Asia
CORPORACION ANDINA DE FOMENTO - CAF	71	Andean Development Corporation (CAF)	120834146	Multilaterals
COSTA RICA		Costa Rica	110593551	North & Central America
Counter Norcotics Trust Fund (CNTF)	48	United Nations Development Programme (UNDP)	120834146	Multilaterals
Crédit Mut Sénég.		NGO/Other	142309408	NGO/Other
Cruz Roja Hondureña		NGO/Other	142309408	NGO/Other
Cuenta del Desafio del Milenio	52	United States	110593551	North & Central America
Czech Republic	40874767	Czech Republic	110593622	Europe
Dan Church Aid		NGO/Other	142309408	NGO/Other
Danida HUGOU	12	Denmark	110593622	Europe
Danish Church Aid [Cooperación de la Iglesia Danesa]		NGO/Other	142309408	NGO/Other
Danish Demining Group (ddg)		NGO/Other	142309408	NGO/Other
Danish International Developement Agency	12	Denmark	110593622	Europe
Danish Refugee Council		NGO/Other	142309408	NGO/Other
Dansk Flygtningenhjaelp (drc)		NGO/Other	142309408	NGO/Other
Delegation of the European Union to Bangladesh	96659733	European Union	110593622	Europe
Denmark	12	Denmark	110593622	Europe
DENMARK Ministry of Foreign Affairs	12	Denmark	110593622	Europe
Denmark/DANIDA	12	Denmark	110593622	Europe
Departamento de Estado de Estados Unidos	52	United States	110593551	North & Central America
Departement of Foreign Affairs Irland	29	Ireland	110593622	Europe
Department for International Development	51	United Kingdom	110593622	Europe
Department for International Development (189)	51	United Kingdom	110593622	Europe
Department for International Development (DFID)	51	United Kingdom	110593622	Europe
Department of Defense	52	United States	110593551	North & Central America
Deutsche Gesellschaft für Internationale Zusammenarbeit	53	Germany	110593622	Europe
Deutsche Gesellschaft Technische Zusammenarbeit (19)	53	Germany	110593622	Europe
Deutsche Welthungerhilfe	53	Germany	110593622	Europe
Development In Action (dia)		NGO/Other	142309408	NGO/Other
DFAT - Australian Aid Program	5	Australia	110593648	Oceania
DfID	51	United Kingdom	110593622	Europe
DFLD	51	United Kingdom	110593622	Europe
Diakonia		NGO/Other	142309408	NGO/Other
DIAKONIA		NGO/Other	142309408	NGO/Other
DIPUTACIÓN FORAL DE VIZCAYA		NGO/Other	142309408	NGO/Other
Direction Général du Development et de la Cooperation (DGDC)	7	Belgium	110593622	Europe
DISNEYS SCIENCE		NGO/Other	142309408	NGO/Other
DKA AUSTRIA		NGO/Other	142309408	NGO/Other
DRF UK		NGO/Other	142309408	NGO/Other
Ec	96659733	European Union	110593622	Europe
ECHO	96659733	European Union	110593622	Europe
