"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1418642062023,11.3939606815533,0,0,0,0,0,30.5132151962007,0,0,0,0,31.3418943138249,15.0756654251141,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4103284704827,5.67037745836928,35.0681988898199,0,0,0,30.5132151962007,0,28.5042155996719,0,0,0,36.6563914515652,15.5189495693061,27.2014191968523,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4161906052973,16.8135407631915,14.5229618602347,0,0,0,28.5042155996719,0,20.4850753932716,0,0,0,21.2861684101221,27.571328998092,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9397795374756,16.6450565845273,19.1365311546476,0,0,0,20.4850753932716,0,11.9652281502173,0,0,0,23.419242089941,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9926117145456,7.95252045129658,4,0,0,0,11.9652281502173,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.47752012749453,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3418943138249,36.6563914515652,0,0,0,0,0,18.0318619255527,0,8.35036293574312,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0756654251141,15.5189495693061,21.2861684101221,0,0,0,18.0318619255527,0,17.3185017786745,11.3321163591354,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2014191968523,27.571328998092,23.419242089941,0,0,0,17.3185017786745,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35036293574312,11.3321163591354,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,14.7527088343203,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7527088343203,4,0,0,16.9786970340732,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8.60375422968735,5.22253400928543,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16.9786970340732,4,0,0,15.1776755354184,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60375422968735,0,0,15.7789843761225,26.4796749131827,14.8473386838655,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22253400928543,15.1776755354184,15.7789843761225,0,0,33.249973024441,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4796749131827,0,0,30.4153592107195,16.9171857289166
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8473386838655,33.249973024441,30.4153592107195,0,22.7033980131961
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9171857289166,22.7033980131961,0
