"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
0,0,10.6185199519267,15.4430648943552,0,0,0,0,0,0,0,0,0,12.5054525684944,0,13.4931795704532,0,0,0,0,0,0,0,0,0,20.8093256274717,16.9281323708987,16.9346344877126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19.0676260282791,23.0534660729892,28.5392514833959,0,0,0,0,0,0,0,0,0,13.4931795704532,0,22.3227236250734,0,0,0,0,0,0,0,0,0,21.1676952593016,25.7288401220291,25.7239702978725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21.8114848264012,24.0858030850593,25.3914105323528,0,0,0,0,0,0,0,0,0,22.3227236250734,0,18.7669493240817,0,0,0,0,0,0,0,0,0,23.8009980499361,21.4451583510837,21.9866747558859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,21.6222228470354,19.3884040885226,21.6883749065597,0,0,0,0,0,0,0,0,0,18.7669493240817,0,20.659678869982,0,0,0,0,0,0,0,0,0,18.1713522654724,17.6203863293284,19.7896483351294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,20.1732320933504,18.551030571524,19.6984774517505,0,0,0,0,0,0,0,0,0,20.659678869982,0,18.5516146533647,0,0,0,0,0,0,0,0,0,20.0750766544213,18.7199052256273,23.9521637325105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,19.9769591309976,18.4317293483173,16.6172354956622,0,0,0,0,0,0,0,0,0,18.5516146533647,0,12.1182781079862,0,0,0,0,0,0,0,0,0,17.8502178304875,14.0871814659784,14.8471129568889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20.1161112322383,18.2063904915337,17.9152613173199,0,0,0,0,0,0,0,0,0,12.1182781079862,0,15.448007336383,0,0,0,0,0,0,0,0,0,16.8624158386004,15.0571305686153,15.1153071534632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,19.4435523393108,15.5055110557533,21.4437054542486,0,0,0,0,0,0,0,0,0,15.448007336383,0,14.5652496730529,0,0,0,0,0,0,0,0,0,19.2656730690969,13.5206586900997,19.3897823944698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.8318568815991,16.6025188729062,0,0,0,0,0,0,0,0,0,0,14.5652496730529,0,0,0,0,0,0,0,0,0,0,0,15.0356519200423,17.0809093045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,15.8548627596523,22.5293986524053,0,0,0,0,0,0,0,0,0,0,0,24.1296637205689,0,0,0,0,0,0,0,0,0,0,20.3749847851495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20.3328409125573,23.9296177000066,22.9681244766149,0,0,0,0,0,0,0,0,0,24.1296637205689,0,22.8574614671863,0,0,0,0,0,0,0,0,0,19.0249700505057,25.5244993659109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,24.7856136658405,4,20.8093256274717,0,0,0,0,0,0,0,0,0,22.8574614671863,0,21.7833635255709,0,0,0,0,0,0,0,0,19.370123323611,23.4159796994025,23.1271279835159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,20.4492550041909,16.9281323708987,21.1676952593016,0,0,0,0,0,0,0,0,0,21.7833635255709,0,19.8899938495371,0,0,0,0,0,0,0,0,23.2201943971032,19.8840453617894,20.7667917845584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9346344877126,25.7288401220291,23.8009980499361,0,0,0,0,0,0,0,0,0,19.8899938495371,0,22.773414335629,0,0,0,0,0,0,0,0,24.8059055042731,24.7122960094032,24.8358717232665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7239702978725,21.4451583510837,18.1713522654724,0,0,0,0,0,0,0,0,0,22.773414335629,0,18.8891085542874,0,0,0,0,0,0,0,0,23.4184934887665,23.9475492674525,22.2010870215677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9866747558859,17.6203863293284,20.0750766544213,0,0,0,0,0,0,0,0,0,18.8891085542874,0,19.859048650916,0,0,0,0,0,0,0,0,23.4627355762146,21.9563393318232,22.7669803384467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7896483351294,18.7199052256273,17.8502178304875,0,0,0,0,0,0,0,0,0,19.859048650916,0,21.0737795805193,0,0,0,0,0,0,0,0,22.4904312304873,20.4188600897198,24.1681433626209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9521637325105,14.0871814659784,16.8624158386004,0,0,0,0,0,0,0,0,0,21.0737795805193,0,13.3990872632814,0,0,0,0,0,0,0,0,22.5558347046383,19.0253582305019,22.5272169260139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8471129568889,15.0571305686153,19.2656730690969,0,0,0,0,0,0,0,0,0,13.3990872632814,0,15.5909328116268,0,0,0,0,0,0,0,0,17.935362875789,17.6005620448266,16.3744940351746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
