"ID","gwgroupid","status"
19386,43502000,"JUNIOR PARTNER"
19436,43502000,"JUNIOR PARTNER"
19625,43502000,"JUNIOR PARTNER"
20144,43502000,"JUNIOR PARTNER"
19072,43502000,"JUNIOR PARTNER"
19984,43502000,"JUNIOR PARTNER"
19304,43502000,"JUNIOR PARTNER"
19190,43502000,"JUNIOR PARTNER"
19481,43502000,"JUNIOR PARTNER"
19479,43502000,"JUNIOR PARTNER"
19832,43502000,"JUNIOR PARTNER"
19526,43502000,"JUNIOR PARTNER"
19627,43502000,"JUNIOR PARTNER"
19256,43502000,"JUNIOR PARTNER"
19682,43502000,"JUNIOR PARTNER"
20082,43502000,"JUNIOR PARTNER"
19385,43502000,"JUNIOR PARTNER"
19393,43502000,"JUNIOR PARTNER"
19074,43502000,"JUNIOR PARTNER"
19753,43502000,"JUNIOR PARTNER"
19429,43502000,"JUNIOR PARTNER"
20001,43502000,"JUNIOR PARTNER"
20003,43502000,"JUNIOR PARTNER"
19428,43502000,"JUNIOR PARTNER"
19770,43502000,"JUNIOR PARTNER"
19156,43502000,"JUNIOR PARTNER"
19132,43502000,"JUNIOR PARTNER"
19229,43502000,"JUNIOR PARTNER"
19626,43502000,"JUNIOR PARTNER"
19906,43502000,"JUNIOR PARTNER"
19384,43502000,"JUNIOR PARTNER"
19476,43502000,"JUNIOR PARTNER"
20074,43502000,"JUNIOR PARTNER"
19440,43502000,"JUNIOR PARTNER"
19766,43502000,"JUNIOR PARTNER"
19188,43502000,"JUNIOR PARTNER"
20072,43502000,"JUNIOR PARTNER"
19833,43502000,"JUNIOR PARTNER"
19191,43502000,"JUNIOR PARTNER"
19303,43502000,"JUNIOR PARTNER"
19469,43502000,"JUNIOR PARTNER"
19678,43502000,"JUNIOR PARTNER"
19689,43502000,"JUNIOR PARTNER"
19681,43502000,"JUNIOR PARTNER"
19680,43502000,"JUNIOR PARTNER"
19424,43502000,"JUNIOR PARTNER"
19478,43502000,"JUNIOR PARTNER"
19988,43502000,"JUNIOR PARTNER"
19755,43502000,"JUNIOR PARTNER"
19480,43502000,"JUNIOR PARTNER"
19230,43502000,"JUNIOR PARTNER"
19380,43502000,"JUNIOR PARTNER"
19427,43502000,"JUNIOR PARTNER"
20073,43502000,"JUNIOR PARTNER"
20145,43502000,"JUNIOR PARTNER"
19751,43502000,"JUNIOR PARTNER"
20143,43502000,"JUNIOR PARTNER"
19439,43502000,"JUNIOR PARTNER"
19100,43502000,"JUNIOR PARTNER"
19095,43502000,"JUNIOR PARTNER"
19422,43502000,"JUNIOR PARTNER"
19438,43502000,"JUNIOR PARTNER"
19477,43502000,"JUNIOR PARTNER"
19471,43502000,"JUNIOR PARTNER"
19423,43502000,"JUNIOR PARTNER"
19425,43502000,"JUNIOR PARTNER"
19679,43502000,"JUNIOR PARTNER"
19071,43502000,"JUNIOR PARTNER"
19750,43502000,"JUNIOR PARTNER"
19426,43502000,"JUNIOR PARTNER"
20081,43502000,"JUNIOR PARTNER"
21510,43601000,"JUNIOR PARTNER"
21665,43601000,"JUNIOR PARTNER"
