"ID","status","group","hist_discr","hist_monop"
19922,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19518,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19828,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19157,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19334,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19843,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19512,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19562,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19261,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19575,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19228,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19917,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19619,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19347,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19343,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19338,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19995,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19258,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19631,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19909,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19996,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19617,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19845,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19563,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19690,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19915,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19768,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19433,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19101,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19919,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19918,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19162,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19300,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19564,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19632,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19630,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19573,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19529,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19301,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19395,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19923,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19308,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19579,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19337,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19511,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19614,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19615,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19194,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19574,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19339,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19999,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19904,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19430,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19432,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19342,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20002,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19344,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20063,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19259,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19257,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19350,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19195,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19126,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19378,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19561,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19767,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19129,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19566,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19921,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19920,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19159,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
