"","Country","Leader name","Entered office","Left office","ADM1 region","ADM2 region","Ethnicity","until","from","years_in_power","x","y"
"81","Republic-of-the-Congo","Denis Sassou Nguesso","15.10.1997","ongoing","Cuvette","Owando","MBOCHI",2014,1997,17,15.896645,-0.481343
"82","Rwanda","Paul Kagame","19.07.1994","ongoing","Gitarama","Tambwe","TUTSI",2014,1994,20,29.7526948,-2.0845197
"83","Senegal","Abdoulaye Wade","02.04.2000","ongoing","Louga","Kébémer","WOLOF",2014,2000,14,-16.4429778,15.3688735
"84","Sierra-Leone","Ahmad Tejan Kabbah","10.03.1998","17.09.2007","Eastern","Kailahun","MENDE",2007,1998,9,-10.573943,8.277001
"85","Sierra-Leone","Ernest Bai Koroma","17.09.2007","ongoing","Northern","Bombali","TEMNE",2014,2007,7,-12.1148024,9.2388372
"86","South-Africa","Jacob Zuma","09.05.2009","ongoing","KwaZulu-Natal","Nkandla","ZULU",2014,2009,5,31.090556,-28.62
"87","South-Africa","Thabo Mbeki","16.06.1999","24.09.2008","Eastern Cape","Idutywa","XOSA",2008,1999,9,28.304297,-32.097151
"88","Sudan","Umar Hassan Ahmad al-Bashir","30.06.1989","ongoing","Northern","River Nile","JA’ALIN",2014,1989,25,33.0183179782381,19.0105596
"89","Swaziland","Mswati III of Swaziland","25.04.1986","ongoing","Manzini","Swazi","",2014,1986,28,31.3991317,-26.5624806
"90","United-Republic-of-Tanzania","Jakaya Kikwete","21.12.2005","ongoing","Pwani","Bagamoyo","KWERE",2014,2005,9,38.9062189,-6.4422075
"91","United-Republic-of-Tanzania","Benjamin Mkapa","23.11.1995","21.12.2005","Mtwara","Masasi","NGONI",2005,1995,10,38.7637592886185,-10.57843185
"92","Togo","Faure Gnassingbe","04.05.2005","ongoing","Maritime","Lacs","KABRE",2014,2005,9,1.24433891622709,6.53703405
"93","Togo","Gnassingbe Eyadema","14.04.1967","05.02.2005","Kara","Kozah","KABRE",2005,1967,38,1.15348759748936,9.5899785
"94","Tunisia","Zine El Abidine Ben Ali","07.11.1987","14.01.2011","Sousse","Sousse Médina","TUNISIA ARABS",2011,1987,24,10.6324430833192,35.83618285
"95","Tunisia","Fouad Mebazaa","15.01.2011","13.12.2011","Tunis","Bab Souika","TUNISIA ARABS",2011,2011,0,10.1689619270833,36.806945
"96","Uganda","Yoweri Museveni","26.01.1986","ongoing","Ntungamo","Ruhaama","BANYANKOLE",2014,1986,28,30.6988139,-0.7866838
"97","Zambia","Frederick Chiluba","02.11.1991","02.01.2002","Copperbelt","Kitwe","BEMBA",2002,1991,11,28.2068361,-12.8104186
"98","Zambia","Levy Mwanawasa","03.01.2002","19.08.2008","Copperbelt","Mufulira","LENJE",2008,2002,6,28.2408844,-12.5512171
"99","Zambia","Michael Sata","23.09.2011","ongoing","Northern","Mpika","BEMBA",2014,2011,3,31.4555126,-11.8431958
"100","Zimbabwe","Robert Mugabe","04.03.1980","ongoing","Harare","Harare","SHONA",2014,1980,34,31.045686,-17.831773
