"","ID","x","y","tribeid","tribename"
"194",19266,-13.25,21.25,647,"REGEIBAT"
"195",19267,-13.25,21.75,647,"REGEIBAT"
"196",19268,-13.25,22.25,647,"REGEIBAT"
"197",19269,-13.25,22.75,647,"REGEIBAT"
"198",19270,-13.25,23.25,647,"REGEIBAT"
"199",19271,-13.25,23.75,647,"REGEIBAT"
"200",19272,-13.25,24.25,647,"REGEIBAT"
"201",19273,-13.25,24.75,647,"REGEIBAT"
"202",19274,-13.25,25.25,647,"REGEIBAT"
"203",19275,-13.25,25.75,647,"REGEIBAT"
"204",19276,-13.25,26.25,647,"REGEIBAT"
"205",19277,-13.25,26.75,299,"IMRAGEN"
"206",19278,-13.25,27.25,299,"IMRAGEN"
"207",19279,-12.75,8.25,750,"TEMNE"
"208",19280,-12.75,8.75,750,"TEMNE"
"209",19281,-12.75,9.25,750,"TEMNE"
"210",19282,-12.75,9.75,728,"SUSU"
"211",19283,-12.75,10.25,728,"SUSU"
"212",19284,-12.75,10.75,217,"FOUTADJALON"
"213",19285,-12.75,11.25,217,"FOUTADJALON"
"214",19286,-12.75,11.75,217,"FOUTADJALON"
"215",19287,-12.75,12.25,217,"FOUTADJALON"
"216",19288,-12.75,12.75,483,"MALINKE"
"217",19289,-12.75,13.25,483,"MALINKE"
"218",19290,-12.75,13.75,483,"MALINKE"
"219",19291,-12.75,14.25,483,"MALINKE"
"220",19292,-12.75,14.75,777,"TUKULOR"
"221",19293,-12.75,15.25,777,"TUKULOR"
"222",19294,-12.75,15.75,777,"TUKULOR"
"223",19295,-12.75,16.25,777,"TUKULOR"
"224",19296,-12.75,16.75,186,"DUAISH"
"225",19297,-12.75,17.25,186,"DUAISH"
"226",19298,-12.75,17.75,186,"DUAISH"
"227",19299,-12.75,18.25,186,"DUAISH"
"228",19300,-12.75,18.75,647,"REGEIBAT"
"229",19301,-12.75,19.25,647,"REGEIBAT"
"230",19302,-12.75,19.75,647,"REGEIBAT"
"231",19303,-12.75,20.25,647,"REGEIBAT"
"232",19304,-12.75,20.75,647,"REGEIBAT"
"233",19305,-12.75,21.25,647,"REGEIBAT"
"234",19306,-12.75,21.75,647,"REGEIBAT"
"235",19307,-12.75,22.25,647,"REGEIBAT"
"236",19308,-12.75,22.75,647,"REGEIBAT"
"237",19309,-12.75,23.25,647,"REGEIBAT"
"238",19310,-12.75,23.75,647,"REGEIBAT"
"239",19311,-12.75,24.25,647,"REGEIBAT"
"240",19312,-12.75,24.75,647,"REGEIBAT"
"241",19313,-12.75,25.25,647,"REGEIBAT"
"242",19314,-12.75,25.75,647,"REGEIBAT"
"243",19315,-12.75,26.25,647,"REGEIBAT"
"244",19316,-12.75,26.75,746,"TEKNA"
"245",19317,-12.75,27.25,746,"TEKNA"
"246",19318,-12.75,27.75,299,"IMRAGEN"
"247",19319,-12.25,7.75,692,"SHERBRO"
"248",19320,-12.25,8.25,750,"TEMNE"
"249",19321,-12.25,8.75,750,"TEMNE"
"250",19322,-12.25,9.25,449,"LOKO"
"251",19323,-12.25,9.75,728,"SUSU"
"252",19324,-12.25,10.25,728,"SUSU"
"253",19325,-12.25,10.75,217,"FOUTADJALON"
"254",19326,-12.25,11.25,217,"FOUTADJALON"
"255",19327,-12.25,11.75,217,"FOUTADJALON"
"256",19328,-12.25,12.25,217,"FOUTADJALON"
"257",19329,-12.25,12.75,483,"MALINKE"
"258",19330,-12.25,13.25,483,"MALINKE"
"259",19331,-12.25,13.75,483,"MALINKE"
"260",19332,-12.25,14.25,483,"MALINKE"
"261",19333,-12.25,14.75,717,"SONINKE"
"262",19334,-12.25,15.25,717,"SONINKE"
"263",19335,-12.25,15.75,186,"DUAISH"
"264",19336,-12.25,16.25,186,"DUAISH"
"265",19337,-12.25,16.75,186,"DUAISH"
"266",19338,-12.25,17.25,186,"DUAISH"
"267",19339,-12.25,17.75,186,"DUAISH"
"268",19340,-12.25,18.25,186,"DUAISH"
"269",19341,-12.25,18.75,186,"DUAISH"
"270",19342,-12.25,19.25,647,"REGEIBAT"
"271",19343,-12.25,19.75,647,"REGEIBAT"
"272",19344,-12.25,20.25,647,"REGEIBAT"
"273",19345,-12.25,20.75,647,"REGEIBAT"
"274",19346,-12.25,21.25,647,"REGEIBAT"
"275",19347,-12.25,21.75,647,"REGEIBAT"
"276",19348,-12.25,22.25,647,"REGEIBAT"
"277",19349,-12.25,22.75,647,"REGEIBAT"
"278",19350,-12.25,23.25,647,"REGEIBAT"
"279",19351,-12.25,23.75,647,"REGEIBAT"
"280",19352,-12.25,24.25,647,"REGEIBAT"
"281",19353,-12.25,24.75,647,"REGEIBAT"
"282",19354,-12.25,25.25,647,"REGEIBAT"
"283",19355,-12.25,25.75,647,"REGEIBAT"
"284",19356,-12.25,26.25,647,"REGEIBAT"
"285",19357,-12.25,26.75,746,"TEKNA"
"286",19358,-12.25,27.25,746,"TEKNA"
"287",19359,-12.25,27.75,299,"IMRAGEN"
"288",19360,-11.75,7.25,692,"SHERBRO"
"289",19361,-11.75,7.75,530,"MENDE"
"290",19362,-11.75,8.25,530,"MENDE"
"291",19363,-11.75,8.75,750,"TEMNE"
"292",19364,-11.75,9.25,443,"LIMBA"
"293",19365,-11.75,9.75,443,"LIMBA"
"294",19366,-11.75,10.25,814,"YALUNKA"
"295",19367,-11.75,10.75,217,"FOUTADJALON"
"296",19368,-11.75,11.25,217,"FOUTADJALON"
"297",19369,-11.75,11.75,217,"FOUTADJALON"
"298",19370,-11.75,12.25,217,"FOUTADJALON"
"299",19371,-11.75,12.75,483,"MALINKE"
"300",19372,-11.75,13.25,483,"MALINKE"
"301",19373,-11.75,13.75,483,"MALINKE"
