"","ID","x","y","country","region","subregion","pop","lights","num_landpixels","gridarea","pop_dens","pop_sd","lights_sd","rugg","altitude","landsuit","temp","precip","growingdays","malaria","harbor","alternative_lights","lights_raw","un_code","abroad"
"94",20131,-5.75,9.75,"Cote-dIvoire",2,11,175895.3095131,0.373200026,900,3033.993,57.9748502348,17.684926352251,296.016435,418.19995,367.3311,0.458,26.79663,111.49545,199.44445,20.00876,614.99627,335.880025,13435.20126,384,0
"95",20132,-5.75,10.25,"Cote-dIvoire",2,11,163937.1605339,0.179666297,900,3029.449,54.1145092754,22.12232528409,112.430064,1885.8055,405.361375,0.534,26.75128,111.61935,181.44445,19.84387,660.8057,160.93475,7043.64935,384,0
"96",20133,-5.75,10.75,"Mali",2,11,167036.7111492,0.07075926,900,3024.68,55.22459147013,22.219675898796,65.858288,305.523225,403.687225,0.613,26.87981,109.7785,169.611125,26.80142,696.88215,62.15357,2486.14281,466,1
"97",20134,-5.75,11.25,"Mali",2,11,398577.1628084,0.520705191,900,3019.685,131.99293957183,187.460951098673,807.724567,319.495375,448.57945,0.536,26.84167,106.0749,164.5,26.59663,723.41593,466.34,18653.59985,466,1
"98",20203,-5.25,5.25,"Cote-dIvoire",2,11,127942.2527821,0.477848825,634,3064.712,41.74691150486,12.723664383336,188.425451,115.495693,75.433977,0.233,26.66426,129.26635,302.1389,24.25525,307.3565,251.85032,10074.01241,384,0
"99",20204,-5.25,5.75,"Cote-dIvoire",2,11,320621.0847282,1.012335378,900,3062.206,104.70265632256,47.549456141398,750.584796,767.683985,108.848888,0.348,26.67147,127.24335,311.2778,24.41763,309.99415,911.10185,42155.17249,384,0
"100",20205,-5.25,6.25,"Cote-dIvoire",2,11,254524.5898518,1.356223329,900,3059.473,83.19230790218,21.00804084099,230.70301,789.323475,161.172825,0.529,26.48413,117.4103,307.583325,23.75869,322.71785,1220.601,48824.04053,384,0
"101",20206,-5.25,6.75,"Cote-dIvoire",2,11,432642.5056267,4.344609138,886,3056.512,141.54776743095,99.731582626916,2326.747086,917.7913,182.870275,0.476,26.60369,101.779385,288.6111,24.33618,344.394,3788.77825,151551.12793,384,0
"102",20207,-5.25,7.25,"Cote-dIvoire",2,11,179982.7627019,2.708621069,740,3053.325,58.94647535866,32.942251418254,998.700145,271.738725,212.435,0.36,26.5593,93.14268,273.333325,24.20667,373.44928,2008.5105,84810.04395,384,0
"103",20208,-5.25,7.75,"Cote-dIvoire",2,11,287285.1176529,2.309999046,893,3049.911,94.1945767387,49.291333784395,1576.930267,195.228148,268.644175,0.328,26.375,92.288965,256.527775,20.89668,408.29393,2073.36725,82934.68994,384,0
"104",20209,-5.25,8.25,"Cote-dIvoire",2,11,113431.0039759,0.421942959,898,3046.271,37.23601722162,17.28576074518,440.049084,323.543893,292.61305,0.502,26.54471,94.831945,242.638875,21.59308,447.56088,378.438015,15137.52106,384,0
"105",20210,-5.25,8.75,"Cote-dIvoire",2,11,54832.7783234,0.163735837,900,3042.405,18.02284282258,7.468164824089,87.000618,43.752158,303.054175,0.378,26.68622,97.32564,225.111125,22.21169,490.17275,146.597375,6598.42715,384,0
"106",20211,-5.25,9.25,"Cote-dIvoire",2,11,113579.5850048,0.315092894,900,3038.312,37.3824646835,23.878932428175,284.500919,186.495935,316.211675,0.355,26.68045,102.370515,212.277775,22.22953,535.31697,282.81872,11312.74866,384,0
"107",20212,-5.25,9.75,"Cote-dIvoire",2,11,196770.2432923,0.725968865,900,3033.993,64.85519947698,20.921623928968,517.992935,357.711658,329.673025,0.402,27.03301,108.57515,197.527775,20.68649,582.39167,652.6071,26104.28375,384,0
"108",20213,-5.25,10.25,"Cote-dIvoire",2,11,167512.0333481,0.069246829,900,3029.449,55.29454977037,17.723721553095,66.761184,634.6136,310.983075,0.564,27.16138,108.18435,180.833325,21.16272,630.9527,60.792375,2431.6951,384,0
"109",20214,-5.25,10.75,"Burkina-Faso",2,11,140906.8935204,0.0033995,900,3024.68,46.58572104569,16.758042595661,0,610.5574,436.805825,0.576,26.73958,103.34685,174.361125,26.09114,680.67067,0,0,854,1
"110",20215,-5.25,11.25,"Burkina-Faso",2,11,109904.0317574,0.017106401,900,3019.685,36.39585399282,10.039787894872,14.71552,404.239525,437.8864,0.672,26.86795,101.51475,166.1111,26.59224,731.2991,13.8659825,554.63928,854,1
"111",20284,-4.75,5.25,"Cote-dIvoire",2,11,138192.6016264,1.583030712,553,3064.712,45.09154861101,34.444141682853,790.644884,1166.220075,83.410555,0.227,26.86939,141.0876,305.833325,13.29323,258.23325,873.67265,47258.97644,384,0
"112",20285,-4.75,5.75,"Cote-dIvoire",2,11,270081.1792374,0.658848975,900,3062.206,88.19824470636,33.482234486291,269.662597,669.1854,98.03638,0.322,26.95064,122.0715,306.166675,25.51256,260.61695,592.9641,33984.02388,384,0
"113",20286,-4.75,6.25,"Cote-dIvoire",2,11,143869.3826466,0.892852647,900,3059.473,47.02424227772,12.929816629931,387.737255,957.334375,99.785813,0.391,27.10449,100.58475,295.58335,26.40369,274.41195,803.5674,36296.06857,384,0
"114",20287,-4.75,6.75,"Cote-dIvoire",2,11,156900.774611,1.232878118,900,3056.512,51.33326953671,34.289619596019,528.673355,126.756112,129.11499,0.395,27.16667,97.348465,279.777775,26.81493,298.04688,1109.590325,55381.24954,384,0
"115",20288,-4.75,7.25,"Cote-dIvoire",2,11,149011.2097654,1.249763965,900,3053.325,48.80292686222,12.303564394993,464.749528,190.24462,179.128625,0.463,27.03205,94.40995,268.80555,23.63858,329.7611,1124.78755,58290.75995,384,0
"116",20289,-4.75,7.75,"Cote-dIvoire",2,11,497402.1217079,0.511303764,900,3049.911,163.08739800374,56.596443470289,396.352669,196.22695,226.07055,0.563,26.71603,92.855555,255.08335,22.27638,367.73183,459.4085,21562.32361,384,0
"117",20290,-4.75,8.25,"Cote-dIvoire",2,11,74179.5542889,0.020821299,900,3046.271,24.35093637697,20.913870854434,17.766921,843.36775,291.770825,0.564,26.7266,93.77166,246.16665,22.40388,410.02213,17.9742817,1034.07544,384,0
"118",20291,-4.75,8.75,"Cote-dIvoire",2,11,54750.2027273,0.0033995,900,3042.405,17.99570126538,2.741623092719,0,616.044525,310.5739,0.457,26.7726,94.94407,233.611125,22.56018,455.41307,0,0,384,0
"119",20292,-4.75,9.25,"Cote-dIvoire",2,11,33481.8677559,0.010622655,900,3038.312,11.01989181303,2.216173296045,13.318303,226.493375,304.337225,0.445,27.15417,100.88483,212.805575,23.97331,503.0507,7.26573,435.94379,384,0
