"from","to","dist","dur","share_unnamed"
106,113,131.2952,231.201666666667,1
106,114,199.8136,250.403333333333,1
106,115,130.1954,163.085,1
107,108,119.6252,146.986666666667,1
107,114,134.4879,151.245,1
107,115,64.8697,63.9266666666667,1
107,116,107.6159,157.16,1
108,109,131.1684,165.855,1
108,115,119.5907,157.116666666667,1
108,116,43.8295,72.235,1
109,116,101.5727,127.898333333333,1
110,111,61.2406,99.8483333333333,1
110,117,143.7235,233.155,1
111,112,208.4697,292.296666666667,1
111,117,105.4407,190.943333333333,1
111,118,172.2099,364.886666666667,1
112,113,75.3831,143.058333333333,1
112,117,290.9516,425.798333333333,1
112,118,97.0862,163.228333333333,1
112,119,104.9874,175.056666666667,1
113,114,153.8267,244.968333333333,1
113,118,105.9725,171.375,1
113,119,86.4688,142.251666666667,1
113,120,164.8968,290.496666666667,1
114,115,69.6182,87.34,1
114,119,113.7845,172.4,1
114,120,79.0353,154.295,1
114,121,107.8514,192.778333333333,1
115,116,120.6997,165.141666666667,1
115,120,117.5827,166.931666666667,1
115,121,146.3988,205.415,1
116,121,267.0984,370.615,1
117,118,325.2006,398.678333333333,1
118,119,80.2977,108.008333333333,1
119,120,124.8546,218,1
120,121,100.2143,210.321666666667,1
