"from","to","dist","dur","share_unnamed"
88,102,129.5677,139.38,0.22564609180543
89,90,95.659,132.005,1
89,101,97.4105,111.616666666667,0.886844847321387
89,102,136.1261,131.165,0.73078030648076
89,103,215.4934,196.038333333333,0.699274920125201
90,91,85.3394,136.561666666667,1
90,102,89.3723,121.176666666667,1
90,103,67.1341,75.69,1
90,104,161.3583,158.746666666667,0.61585962163683
91,92,81.4837,190.57,1
91,103,94.8868,145.598333333333,1
91,104,95.6963,190.521666666667,1
91,105,200.7112,250.655,1
92,93,80.9184,135.9,1
92,104,129.3243,174.023333333333,1
92,105,71.334,125.443333333333,1
92,106,138.67,165.511666666667,1
93,94,67.4205,106.008333333333,0.975465882729856
93,105,112.6386,140.273333333333,1
93,106,76.3068,111.028333333333,1
93,107,112.5889,136.553333333333,0.967611400758511
94,95,95.7509,154.34,0.344972214360387
94,106,85.6792,126.376666666667,0.702594915212695
94,107,110.6196,144.136666666667,0.803145193076091
94,108,166.9302,205.631666666667,0.869550188971312
95,96,63.7493,104.703333333333,1
95,107,134.2427,163.155,1
95,108,132.3267,183.58,1
95,109,138.2852,196.726666666667,0.78747095674082
96,97,90.3753,101.521666666667,0.349698478561549
96,108,183.4021,198.561666666667,0.835183457550377
96,109,87.6844,151.65,0.982822486097869
96,110,135.4293,160.41,0.377501028211768
97,109,115.4914,143.496666666667,0.54377389792469
97,110,72.4407,100.466666666667,0.350926622538497
98,99,89.5635,141.521666666667,0.821317835948796
98,111,72.3054,86.8816666666667,0.187538119612255
98,112,192.0173,217.895,0.460953257857495
99,100,77.8078,106.881666666667,0.452382666005208
99,111,115.4214,164.066666666667,0.629687934549342
99,112,106.7099,132.138333333333,0.362561486797382
99,113,175.2404,206.506666666667,0.36388583911016
100,101,104.1918,131.61,0.398796258438764
100,112,126.8019,148.961666666667,0.539609847809731
100,113,76.3152,131.725,1
100,114,122.5693,143.383333333333,0.763035278817779
101,102,63.9177,71.655,0.310731316570084
101,113,96.8747,124.918333333333,1
101,114,90.2454,98.8616666666667,1
101,115,113.2641,151.485,0.611029443574796
102,103,105.6569,104.68,0.732544679997236
102,114,145.277,133.326666666667,0.447793525472029
102,115,77.8704,120.851666666667,1
102,116,121.6618,129.19,0.924289300339137
103,104,98.0155,119.735,0.855433069259454
103,115,105.4138,154.208333333333,0.712720997894965
103,116,76.9654,106.211666666667,0.707235978764484
103,117,122.5867,131.748333333333,0.884410066989268
104,105,82.1351,102.803333333333,1
104,116,122.4165,145.295,0.998363783996615
104,117,74.2506,99.565,1
104,118,127.2966,166.103333333333,1
105,106,76.4478,85.2033333333333,1
105,117,125.8484,128.39,1
105,118,178.8944,194.928333333333,1
105,119,107.8371,142.976666666667,1
106,107,69.3154,76.7616666666667,1
106,118,246.2149,234.931666666667,1
106,119,72.4642,109.02,1
