"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69"
0,0,0,0,0,0,0,0.324796097035476,0.350069747546151,0,0,0,0,0.275389780197176,0,0.351495097362796,0,0,0,0,0,0.338374634701308,0.290759929391907,0.302138396373909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.294390554235147,0.316038535776653,0.383748188074993,0,0,0,0,0.351495097362796,0,0.249633387448747,0,0,0,0,0,0.372789060474663,0.376548903247664,0.402601500518172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.291936257722355,0.312741646689213,0.347059539806112,0,0,0,0,0.249633387448747,0,0.359966537336586,0,0,0,0,0,0.39371005021211,0.24945204142621,0.374271720549429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.309722334206349,0.298130813497663,0.323942257419847,0,0,0,0,0.359966537336586,0,0.295179040644469,0,0,0,0,0,0.336700709230501,0.286850365758159,0.307096734450734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.333953123613783,0.330145079894949,0.339658826720026,0,0,0,0,0.295179040644469,0,0.279836151577712,0,0,0,0,0,0.313076008383418,0.287780153872852,0.305181115244086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.303314896708667,0.315816226671742,0,0,0,0,0,0.279836151577712,0,0,0,0,0,0,0,0.297881780941211,0.274725280639552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.296787826184818,0,0,0,0,0,0,0,0.2838637705548,0,0,0,0,0,0,0.328186634083341,0.272098144992869,0.306301456131649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.30613407180154,0.338374634701308,0,0,0,0,0,0.2838637705548,0,0.333634529242119,0,0,0,0,0,0,0.298286238813953,0.281723063319938,0.282860229768349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.325545548367085,0.290759929391907,0.372789060474663,0,0,0,0,0,0.333634529242119,0,0.288775170497803,0,0,0,0,0,0,0.347652697649489,0.303117102416993,0.3022278175673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302138396373909,0.376548903247664,0.39371005021211,0,0,0,0,0,0.288775170497803,0,0.346575120466794,0,0,0,0,0,0,0.305713393608079,0.304856424535494,0.341896293427118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
