"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
0,0,0,0.115189515771217,0.113126817541597,0.116616750387327,0,0,0,0.12054964661132,0,0.111385469239942,0,0,0,0,0.124007496770889,0.120602389560667,0.130879434088058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.12484013008001,0.116816431789513,0.124787412635367,0,0,0,0.111385469239942,0,0.119456683593018,0,0,0,0,0.124315248948692,0.120116174904539,0.11583042858708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.12250194899111,0.10596842044486,0.119462132808815,0,0,0,0.119456683593018,0,0.121129373132837,0,0,0,0,0.122218265248227,0.108621971891958,0.115750194057388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.116002748668691,0.114239284799824,0,0,0,0,0.121129373132837,0,0.119493573548493,0,0,0,0,0.121743248119396,0.106522294301456,0.112362005738574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.116278554173622,0,0,0,0,0,0.119493573548493,0,0,0,0,0,0,0.117764063936418,0.106189378357984,0.12060210925383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.116099857895812,0.126312570065253,0,0,0,0,0,0,0.115121399913276,0,0,0,0,0,0,0.106754802926816,0.127163097205441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.120589417492736,0.122093961726934,0.124007496770889,0,0,0,0,0.115121399913276,0,0.118152425689187,0,0,0,0,0,0.124545612317601,0.1133110971977,0.128011396302084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.123971227245101,0.120602389560667,0.124315248948692,0,0,0,0,0.118152425689187,0,0.137631454719146,0,0,0,0,0,0.133305116134689,0.125412802150709,0.145437591925733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.130879434088058,0.120116174904539,0.122218265248227,0,0,0,0,0.137631454719146,0,0.115420143584031,0,0,0,0,0,0.143825403155847,0.128346591915747,0.131364330583706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.11583042858708,0.108621971891958,0.121743248119396,0,0,0,0,0.115420143584031,0,0.108290170807354,0,0,0,0,0,0.125334881793486,0.115448992721108,0.116901078960063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
