"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
0,0,0,0.107992338667608,0.124448171891322,0,0,0,0,0.111321073846278,0,0.132719101884642,0,0,0,0,0,0.119997319398883,0.122921886032992,0.117507306730705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.123250902230976,0.108892859943646,0.128098342622911,0,0,0,0,0.132719101884642,0,0.112215150666311,0,0,0,0,0,0.124912905093656,0.111107813620284,0.121049563254821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.125287468302517,0.114254838348241,0.129210384358455,0,0,0,0,0.112215150666311,0,0.10845302081369,0,0,0,0,0,0.118673804471842,0.115192422701953,0.1278507554012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.118381225577359,0.121187006337401,0.121645277299199,0,0,0,0,0.10845302081369,0,0.13080959498396,0,0,0,0,0,0.128354392524114,0.136587620631861,0.138805602794158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.124643460031227,0.117787311883758,0.136550285542491,0,0,0,0,0.13080959498396,0,0.115147159622408,0,0,0,0,0,0.131788062051087,0.111275998348746,0.119104712232837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.131961399796282,0.12971967889746,0,0,0,0,0,0.115147159622408,0,0,0,0,0,0,0,0.119873648953062,0.123330842464083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.131402589192722,0,0,0,0,0,0,0,0.109638064743472,0,0,0,0,0,0,0.130302540996877,0.118680338833447,0.124534466193563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.119771660110625,0.119997319398883,0,0,0,0,0,0.109638064743472,0,0.107472703782577,0,0,0,0,0,0,0.117731962844827,0.117585889992687,0.12409065485117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.12862309184414,0.122921886032992,0.124912905093656,0,0,0,0,0,0.107472703782577,0,0.114070462652978,0,0,0,0,0,0,0.121777826368913,0.127385388813871,0.123267220952462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.117507306730705,0.111107813620284,0.118673804471842,0,0,0,0,0,0.114070462652978,0,0.125143244879,0,0,0,0,0,0,0.136083447855087,0.121464951047057,0.128743139465675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
