"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85"
0,0,0,100.018006468348,229.46227164222,0,0,0,0,0,66.3458372773596,0,66.3453811374228,0,0,0,0,0,0,94.09803945195,66.7405444896688,94.1138385520213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,165.604371476101,146.203756649974,167.350766676197,0,0,0,0,0,66.3453811374228,0,178.722470937962,0,0,0,0,0,0,94.1138385520213,156.231807383968,134.438601321834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,218.60577271983,106.121262746053,94.134910906109,0,0,0,0,0,178.722470937962,0,66.3447726345755,0,0,0,0,0,0,334.826623453824,66.7759061190013,94.134910906109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,94.134910906109,79.2856733448486,345.706492274322,0,0,0,0,0,66.3447726345755,0,132.11776178296,0,0,0,0,0,0,139.647192771684,110.822911750086,180.123529795135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,184.04419736,66.7910629109827,186.943647171167,0,0,0,0,0,132.08284178296,0,175.12962551951,0,0,0,0,0,0,226.820875765238,110.389693810287,212.614345975306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,175.129756010873,109.355666892565,151.223714705419,0,0,0,0,0,175.12962551951,0,158.81237089144,0,0,0,0,0,0,246.390313531686,66.7910629109827,251.223770869716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,142.261272543096,184.129320355949,0,0,0,0,0,0,158.81237089144,0,0,0,0,0,0,0,0,409.885691347235,119.701056520246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,153.494375246593,0,0,0,0,0,0,0,0,177.741644626877,0,0,0,0,0,0,0,94.0559301679122,170.763839723767,182.048067218651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,66.7152897988463,94.09803945195,0,0,0,0,0,0,177.741644626877,0,90.6093430307335,0,0,0,0,0,0,0,113.309112784819,111.689980279703,186.137274058211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,94.09803945195,66.7405444896688,94.1138385520213,0,0,0,0,0,0,90.6093430307335,0,66.3453811374228,0,0,0,0,0,0,0,176.487805622507,250.935099401016,408.943177068233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
