"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
0,0,0,0,0.201413499183622,0.169885331522625,0.160008862151719,0,0,0,0.154387389718232,0,0.145605903555273,0,0,0,0.210412344635241,0.145878787730754,0.195352614270854,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.160008862151719,0.203170309958204,0.196160159246992,0,0,0,0.145605903555273,0,0.17207717824581,0,0,0,0.230144999359215,0.145872558840832,0.186320074244788,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.180973666210909,0.168104397651067,0.218984633957334,0,0,0,0.17207717824581,0,0.203691158919075,0,0,0,0.220624812840106,0.166639536743371,0.186007344771304,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.216107733492329,0.171794354768704,0.196454553837245,0,0,0,0.203691158919075,0,0.186689257935984,0,0,0,0.204967424801233,0.169653078916432,0.183573721537213,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.212066827478637,0.154340476387491,0,0,0,0,0.186689257935984,0,0,0,0,0,0.197628220324357,0.175117115514737,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.165315902267029,0.210412344635241,0,0,0,0,0,0.181836905854379,0,0,0,0,0.161347512768561,0.174492841535099,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.2025313101247,0.145878787730754,0.230144999359215,0,0,0,0.181836905854379,0,0.170726161549588,0,0,0,0.185962732266307,0.15431699500687,0.174324824080327,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.195352614270854,0.145872558840832,0.220624812840106,0,0,0,0.170726161549588,0,0.193815145242484,0,0,0,0.182038869394431,0.175712814810732,0.187942746546523,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.186320074244788,0.166639536743371,0.204967424801233,0,0,0,0.193815145242484,0,0.187546710617774,0,0,0,0.174822225080233,0.166020106406883,0.199059152873521,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.186007344771304,0.169653078916432,0.197628220324357,0,0,0,0.187546710617774,0,0.161069148455565,0,0,0,0.187829524676082,0.169041620736755,0.1992107079931,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183573721537213,0.175117115514737,0,0,0,0,0.161069148455565,0,0,0,0,0,0.179802169913637,0.17781414506702,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161347512768561,0.185962732266307,0,0,0,0,0,0.17936353234124,0,0,0,0,0.17865762225722,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174492841535099,0.15431699500687,0.182038869394431,0,0,0,0.17936353234124,0,0.166091777033853,0,0,0,0.145878787730754,0.160008862151718,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174324824080327,0.175712814810732,0.174822225080233,0,0,0,0.166091777033853,0,0.165080618920674,0,0,0.214277376765246,0.145872558840832,0.187851203638906,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187942746546523,0.166020106406883,0.187829524676082,0,0,0,0.165080618920674,0,0.182458407226421,0,0,0.18262411548661,0.177550750557809,0.200893402218549
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199059152873521,0.169041620736755,0.179802169913637,0,0,0,0.182458407226421,0,0.191937602190464,0,0,0.202977502894872,0.161455091431849
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1992107079931,0.17781414506702,0,0,0,0,0.191937602190464,0,0,0,0,0.176931489508557
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17865762225722,0.145878787730754,0.214277376765246,0,0,0,0,0.145605903555273,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160008862151718,0.145872558840832,0.18262411548661,0,0,0.145605903555273,0,0.145606060907006,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187851203638906,0.177550750557809,0.202977502894872,0,0,0.145606060907006,0,0.145606281132998
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200893402218549,0.161455091431849,0.176931489508557,0,0,0.145606281132998,0
