"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108"
0,0,0,3.61589000618731e-05,6.95148472611243e-05,0,0,0,0,3.73212604485473e-05,0,3.27314004166849e-05,0,0,0,0,5.09923562498868e-05,6.96443860154593e-05,4.14296618715946e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.04065526217321e-05,0,0,0,0,0,3.27314004166849e-05,0,0,0,0,0,0,5.52252071291529e-05,2.47714138660809e-05,4.22430477201284e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.29430313150614e-05,3.61447930016698e-05,0,0,0,0,0,0,2.08838469497735e-05,0,0,0,0,0,0,0,0,1.66497270835119e-05,2.28979099407309e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.486780979951e-05,1.44748503657323e-05,2.3666985495484e-05,0,0,0,0,2.08838469497735e-05,0,1.8081758012785e-05,0,0,0,0,0,0,0,2.11276698502999e-05,1.50557148865546e-05,2.14296411298552e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.35981554810022e-05,2.28942770338839e-05,3.13705396221463e-05,0,0,0,0,1.8081758012785e-05,0,2.77720399718961e-05,0,0,0,0,0,0,0,2.66629058065044e-05,4.49528158845828e-05,5.06793205118552e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3.95973633519409e-05,2.65487982974223e-05,4.61414837062382e-05,0,0,0,0,2.77720399718961e-05,0,4.35903164075958e-05,0,0,0,0,0,0,0,3.94898033647263e-05,2.85852763933151e-05,5.23450243777559e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4.01901416273464e-05,2.01916746875995e-05,5.09923562498868e-05,0,0,0,0,4.35903164075958e-05,0,8.99134725737695e-05,0,0,0,0,0,0,0,6.71426634279015e-05,9.60741882259456e-05,6.46862103634762e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7.47633573311697e-05,6.96443860154593e-05,5.52252071291529e-05,0,0,0,0,8.99134725737695e-05,0,3.39254675586487e-05,0,0,0,0,0,0,0,8.35305548112493e-05,4.38451300653077e-05,7.51732243686356e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4.14296618715946e-05,2.47714138660809e-05,0,0,0,0,0,3.39254675586487e-05,0,3.73192070506382e-05,0,0,0,0,0,0,0,5.52545046496273e-05,3.75608045249093e-05,4.4797321449542e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.22430477201284e-05,0,0,0,0,0,0,3.73192070506382e-05,0,4.31416625530459e-05,0,0,0,0,0,0,0,4.60588991835855e-05,2.96965317752169e-05,4.77252933642424e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
