"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43702065087278e-05,4.55490852163066e-05,9.01839927438822e-05,0,0,0,0,0,0,6.82373364280115e-05,0,5.46973825745282e-05,0,0,0,0,0,0,0.00010727601305458,0.000100465636453266,8.19808474301935e-05,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5818996117678e-05,7.37557127425423e-05,7.03837093772603e-05,0,0,0,0,0,0,5.46973825745282e-05,0,6.99970839600766e-05,0,0,0,0,0,0,7.29121674042652e-05,5.3621943894483e-05,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44001642184934e-05,5.50492513519364e-05,0,0,0,0,0,0,0,6.99970839600766e-05,0,0,0,0,0,0,0,0,0.000130734152731856,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114768618181868,0.000174324832627898,0,0,0,0,0,0,0,0,0.000173301348550896,0,0,0,0,0,0,8.49383095575607e-05,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91281310836813e-05,0.000103382839103512,0.000264670814110537,0,0,0,0,0,0,0.000173301348550896,0,4.08911625555125e-05,0,0,0,0,0,0.000229398505802433,0.000331743501556841,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.644382131974e-05,0.000101268086422028,0.000161796684688015,0,0,0,0,0,0,4.08911625555125e-05,0,0.000187296734336679,0,0,0,0,0.00031059744407726,4.02187761516464e-05,0.000234959550276462,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74774822599303e-05,7.08086298785536e-05,0.000104673979916866,0,0,0,0,0,0,0.000187296734336679,0,7.4577992653511e-05,0,0,0,0,0.000118730603255041,5.78215839314207e-05,7.80401135156777e-05,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134092259310072,0.000128202688752131,0.000153557249202743,0,0,0,0,0,0,7.4577992653511e-05,0,6.27450383438397e-05,0,0,0,0,9.84926528169568e-05,6.9068082351772e-05,9.39557263907926e-05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38435028270615e-05,0.000106451143123397,0.00010727601305458,0,0,0,0,0,0,6.27450383438397e-05,0,6.89129427956943e-05,0,0,0,0,7.55305219815775e-05,5.92631866468938e-05,7.74482933507867e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136146861458715,0.000100465636453266,7.29121674042652e-05,0,0,0,0,0,0,6.89129427956943e-05,0,6.11189181044793e-05,0,0,0,0,0.000104317258280098,6.28052709059917e-05
