"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
0,0,0,0,0,7.39715451198201e-05,0,0,0,6.24545674429647e-05,0,7.93588167760217e-05,0,0,0,0,5.96382123830645e-05,6.05570462881191e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.8430434805931e-05,0.00014930740936431,0,0,0,7.93588167760217e-05,0,5.72614675767115e-05,0,0,0,7.63463971970086e-05,7.89121055542345e-05,8.14503538721252e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.31090016167427e-05,0.000145821838448534,0.000118389976916807,0,0,0,5.72614675767115e-05,0,9.17747337941755e-05,0,0,0,8.06234206780979e-05,6.02306504980216e-05,0.000115276683005948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000144943339446947,6.63265935371191e-05,0,0,0,0,9.17747337941755e-05,0,4.99926104267244e-05,0,0,0,7.96449069923235e-05,9.82466415279069e-05,0.000102065439732812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.000104133133573997,5.4561428238962e-05,0,0,0,0,4.99926104267244e-05,0,5.49755696916324e-05,0,0,0,0.000120486313823363,5.65159331004008e-05,0.00010921769479533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.3146734119584e-05,0,0,0,0,0,5.49755696916324e-05,0,0,0,0,0,8.70889388718424e-05,7.98766867379789e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.79628830189298e-05,5.96382123830645e-05,7.63463971970086e-05,0,0,0,0,0,4.45810570400951e-05,0,0,0,0,8.83519401679554e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6.05570462881191e-05,7.89121055542345e-05,8.06234206780979e-05,0,0,0,4.45810570400951e-05,0,6.00497285284636e-05,0,0,0,6.51225377828862e-05,0.000108577757358793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.14503538721252e-05,6.02306504980216e-05,7.96449069923235e-05,0,0,0,6.00497285284636e-05,0,0.000103838504225751,0,0,0.00014072660806396,0.000105241470063437,9.34267416951399e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.000115276683005948,9.82466415279069e-05,0.000120486313823363,0,0,0,0.000103838504225751,0,8.7190703566653e-05,0,0,0.000115604153054829,6.53339956181751e-05,0.000101310539950837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102065439732812,5.65159331004008e-05,8.70889388718424e-05,0,0,0,8.7190703566653e-05,0,5.75949451988653e-05,0,0,7.36212278680214e-05,0.000109908522678181,8.94440765054556e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010921769479533,7.98766867379789e-05,0,0,0,0,5.75949451988653e-05,0,0,0,0,9.74463943640046e-05,7.67195519424308e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83519401679554e-05,6.51225377828862e-05,0.00014072660806396,0,0,0,0,5.83383903408559e-05,0,0,0,5.08819827221647e-05,6.94443090998874e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108577757358793,0.000105241470063437,0.000115604153054829,0,0,5.83383903408559e-05,0,5.53655596501043e-05,0,0,6.81799053051349e-05,7.80796106808664e-05,9.4452945901348e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34267416951399e-05,6.53339956181751e-05,7.36212278680214e-05,0,0,5.53655596501043e-05,0,4.16553204344586e-05,0,0,0.00012595746440895,4.45888457833261e-05,5.93070275651148e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101310539950837,0.000109908522678181,9.74463943640046e-05,0,0,4.16553204344586e-05,0,6.76656211327347e-05,0,0,7.69724215426175e-05,9.14894919740229e-05,7.23756609073821e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94440765054556e-05,7.67195519424308e-05,0,0,0,6.76656211327347e-05,0,0,0,0,0.000149493179547258,7.76300648129699e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08819827221647e-05,6.81799053051349e-05,0,0,0,0,7.94739556124317e-05,0,0,0,6.53121964241138e-05,0.000106287186786539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94443090998874e-05,7.80796106808664e-05,0.00012595746440895,0,0,7.94739556124317e-05,0,0.000128847262313041,0,0,0.000124102399179652,6.42954267467607e-05,0.000132877156429728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4452945901348e-05,4.45888457833261e-05,7.69724215426175e-05,0,0,0.000128847262313041,0,6.07986164634929e-05,0,0,0.00015809855580283,6.27639487000672e-05,6.69729662228489e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93070275651148e-05,9.14894919740229e-05,0.000149493179547258,0,0,6.07986164634929e-05,0,8.434552283665e-05,0,0,9.69513280635804e-05,0.000101591047375717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
