"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
0,100.798220779843,88.0360172293835,121.879503224425,0,0,0,0,0,79.3769046678423,0,88.1771817509932,0,0,0,0,0,0,0,0,0,152.224405036921,73.9199232856306,124.8878827189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,140.254970069367,86.1798060644082,111.639786562038,0,0,0,0,0,88.1771817509932,0,90.3310458850936,0,0,0,0,0,0,0,0,0,92.4001261256141,72.2672855588836,104.818529808072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,151.807167358525,87.9753478561549,0,0,0,0,0,0,90.3310458850936,0,79.552359579409,0,0,0,0,0,0,0,0,0,111.376596853001,86.0752411021885,110.872932827857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,105.733650256353,0,0,0,0,0,0,0,79.552359579409,0,76.2253108556821,0,0,0,0,0,0,0,0,0,114.372043502387,76.3561852280555,264.926526858064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,76.2253108556821,0,98.7805407914664,0,0,0,0,0,0,0,0,0,116.70303410413,202.755925734139,161.034353112534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7805407914664,0,131.675905714432,0,0,0,0,0,0,0,0,0,107.353756793848,65.6321841722431,106.039224084217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,93.8215102702908,0,0,0,0,0,0,0,0,0,131.675905714432,0,90.9900906631138,0,0,0,0,0,0,0,0,0,193.929668035499,93.4817079474729,110.168039836968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,79.410661355716,121.512045759823,0,0,0,0,0,0,0,0,0,90.9900906631138,0,105.04934918045,0,0,0,0,0,0,0,0,0,137.054459032898,98.6395909223929,96.7881473975938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,143.526418787627,74.2259031917336,0,0,0,0,0,0,0,0,0,0,105.04934918045,0,0,0,0,0,0,0,0,0,0,0,109.990148354304,78.0792048295047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,121.574201205078,118.466841391758,0,0,0,0,0,0,0,0,0,0,0,91.1979085230823,0,0,0,0,0,0,0,0,0,0,128.660394724652,124.813862085104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
