"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68"
0,0,0,0,0,0,0,0,0,94.5893621638757,0,0,0,0,0,0,0,171.242154265692,103.77863749785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,71.709412493227,0,0,0,0,0,0,0,144.062996240921,0,0,0,0,0,0,83.6944079855656,152.081891017523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,122.600409797111,136.462895778948,0,0,0,0,0,144.062996240921,0,83.0778701140227,0,0,0,0,0,149.36470528945,84.4899883214072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,61.0768723481652,86.1446004752418,0,0,0,0,0,83.0778701140227,0,80.1655623113291,0,0,0,0,0,92.7108648906247,90.8678541228932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,115.273587976254,89.1920161033306,115.487996886937,0,0,0,0,0,80.1655623113291,0,81.7374126046662,0,0,0,0,0,87.022769750982,144.167394324055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,123.198250768579,74.7780315521856,98.2002025719807,0,0,0,0,0,81.7374126046662,0,74.4627121767646,0,0,0,0,102.80910441623,87.2040289893035,115.327838542485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,117.742596459036,133.821567478831,147.164901131535,0,0,0,0,0,74.4627121767646,0,155.393293233351,0,0,0,0,150.912493896154,72.3750034493353,101.972997667705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,107.808083628567,78.7671172812715,171.078154265692,0,0,0,0,0,155.393293233351,0,127.329192615246,0,0,0,0,169.054619599072,53.5832172470851,210.973436976761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,125.085300513429,103.82623749785,0,0,0,0,0,0,127.329192615246,0,0,0,0,0,0,232.1790970496,96.9079202089188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,83.6944079855656,149.36470528945,0,0,0,0,0,0,0,157.383500066052,0,0,0,0,0,78.7459380281524,211.695593116935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
