"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"5JRHZ7dpDn92YwdyfB7KPM","P052247","","1999","C","USD","6526664.32159"
"BYDNxEhcUJNojmpEyXHHXC","P058512","","2000","C","USD","13543389.9486"
"nPPcYL6n2h6M3uSvr7Ai7a","P068271","","2002","C","USD","93137400.2766"
"8zhWU8Uxb2Au7q85nFfp2U","P076658","","2005","C","USD","7368309.68675"
"vyYHw9WfvdHAzBNstKRetk","P092618","","2007","C","USD","184615257.215"
"HbfqG5VQpWDL39V54KX4yb","P107254","","2008","C","USD","12527829.6601"
"rie2ELp53zqpAi7Q49ZAKQ","P132631","","2013","C","USD","40283639.7934"
"o75BptqmqFxTsStNmqWvfk","P087347","","2006","C","USD","32943098.5389"
"h4FeX22GTKWaDekvYWz2GH","P121631","","2010","C","USD","3063952.75213"
"agr2NASgxa8uD6c6NGDs96","P128251","","2012","C","USD","490921858.269"
"xGKY6QA9LvVPCeCYJLYVZU","P126897","","2012","C","USD","13745812.0315"
"c9gmxXFkaqvUg2ycLp9DX","P082018","","2005","C","USD","141698263.207"
"42ifVjtFmMt7AgneTsafE8","P111205","","2011","C","USD","28800000.0"
"NBVLxKh2kcamfytqmR9UmV","P146474","","2014","C","USD","20000000.0"
"zgC2vpLk3gZXVeBbbMDMmB","P082588","","2005","C","USD","28339652.6413"
"PzumdrnCdGCRHcSPHqY9K4","P009496","","1995","C","USD","83139904.4528"
"nWu6aFUJn2u23v9gqhRTW7","P098256","","2006","C","USD","21962065.6926"
"qvXNqHfmRwgbmWGhYdiQyB","P044305","","2000","C","USD","50468292.7329"
"UGGUBi7DRtXJjpDMeHFfmb","P057704","","1998","C","USD","2651343.42179"
"bqbfTYccsDjrCF827rptPG","P081558","","2003","C","USD","66231689.0454"
"aMVqoHjHdQ7J3SSw6NR6V","P144675","","2014","C","USD","200000000.0"
"sVCTDzt6au63fg3haZDSz5","P072160","","2001","C","USD","29736777.5419"
"cAaJdFqCTsxN99qPeLLuXX","P106424","","2010","C","USD","255972826.089"
"YoxF7zYMvxWTFD2rh5G5ZW","P128442","","2013","C","USD","36151984.4299"
"PT4TtwoZywEVqKE56Y5n6J","P151777","","2014","C","USD","9750000.0"
"ZWrugMrgNtNjFdabU9L8ND","P094488","","2006","C","USD","219620656.926"
"VMFCoYaqDG6KJKeMDKm2SN","P004567","","1995","C","USD","25025389.3002"
"aUaskthFxqyPkr4eB3FPV4","P098328","","2007","C","USD","25611365.1628"
"nEzgX6J5FQfMNkAkDPDm39","P149963","","2014","C","USD","5000000.0"
"Tgmd8GYLMNuRWYikCSrhf4","P102174","","2007","C","USD","10671402.1512"
"mGdkC7jWBKFWQvYXAAqTJC","P102299","","2008","C","USD","52199290.2504"
"SBYQPz6EBP8pHTCe2a8nsE","P145234","","2014","C","USD","50000000.0"
"b97c4AH8PMWuUywmcqV5de","P128344","","2014","C","USD","300000000.0"
"Bp2DBgyMb9GjzbPF3KnUb3","P130395","","2012","C","USD","68729060.1577"
"EYXFcniqjSpaV822wFHFZQ","P132838","","2012","C","USD","29455311.4962"
"kw9ka3zPHrSCKkR9CCCrzC","P074288","","2002","C","USD","6147683.18657"
"eHyGbgWWnmWkPTgQ55T9v","P041896","","1996","C","USD","27286344.2748"
"uDcDMMVRiLFizdd5kchNqJ","P107037","","2009","C","USD","93146825.789"
"3CsWjX5Tbi45SMHBeMdJ9f","P121590","","2012","C","USD","441829672.442"
"xJkJMrHWnfEmwkMfHHaWcE","P001974","","1997","C","USD","40219460.9745"
"QqusoVeAXmxrNNse3bjRnJ","P088994","","2005","C","USD","139431090.995"
"D4LTuQ99EVSm9U5rkuEzqJ","P112227","","2010","C","USD","6434300.77948"
"zornX4kehW9MyfPQ4zUzoY","P071014","","2003","C","USD","84294876.9668"
"RrgysxcAgLJGsMqBKgo6LL","P122811","","2012","C","USD","15513130.7213"
"9UbfeSaHNdjmuXLEyQmyF4","P009545","","1995","C","USD","169477497.538"
"9ePZhWbGSMWsk3qV7kgmBA","P050624","","2000","C","USD","13837255.9569"
"JcyBLesuK2hxs6BoPRz3vW","P099420","","2007","C","USD","42685608.6047"
"QixUw3kvPuHrNm354SP3Xn","P098926","","2006","C","USD","10981032.8463"
"zLND7GcNCnunuM6xgguihC","P089968","","2004","C","USD","7566179.62216"
"hct9GD6yGWBuTih8RoDQ2J","P117979","","2011","C","USD","50000000.0"
