"ID","rownumber","x","y","productivity","rugg","pop"
31811,50,36.25,3.75,0,2223.6449,3703.20377061673
31812,51,36.25,4.25,0,397.7758,7937.54752709158
31952,52,36.75,-2.25,0,1012.03545,76267.0332446098
31953,53,36.75,-1.75,0.0428666764007721,1236.965375,166629.875634372
31954,54,36.75,-1.25,0.0954574003523069,1371.99195,5513429.69820261
31955,55,36.75,-0.75,0.0238280567404449,1865.756375,1018253.25634822
31956,56,36.75,-0.25,0.0775654647390931,2174.2555,410213.792554995
31957,57,36.75,0.25,0.00359557464012039,952.253825,77544.1546359062
31958,58,36.75,0.75,0,1782.256675,61538.8388848305
31959,59,36.75,1.25,0.0132204796204123,4766.22325,91869.8128323555
31960,60,36.75,1.75,0,4100.12375,37950.4530949593
31961,61,36.75,2.25,0,13742.49,28030.0321726808
31962,62,36.75,2.75,0,3217.30625,11633.7911156926
31963,63,36.75,3.25,0,2202.713825,7534.30839622021
31964,64,36.75,3.75,0,3189.309,5108.30320954323
31965,65,36.75,4.25,0,802.299775,9603.29979932308
32102,66,37.25,-2.75,0.0686785107085242,2450.77025,80347.4202065468
32103,67,37.25,-2.25,0.0299147767297885,2320.082525,66871.1640963554
32104,68,37.25,-1.75,0.0158349314002573,1798.4504,548114.59575367
32105,69,37.25,-1.25,0.0630304318113467,728.743825,976682.075281382
32106,70,37.25,-0.75,0.0247424336136848,2155.256825,1236111.82419136
32107,71,37.25,-0.25,0.0587956408945058,4179.759,564095.366037188
32108,72,37.25,0.25,0.212319954065871,2769.258375,175397.834117156
32109,73,37.25,0.75,0,2724.00825,45034.2843866348
32110,74,37.25,1.25,0,4660.727,21561.6664369106
32111,75,37.25,1.75,0,4499.882825,23943.3614882231
32112,76,37.25,2.25,0,748.525525,10961.9822341204
32113,77,37.25,2.75,0,1597.517475,3238.53248040378
32114,78,37.25,3.25,0,1544.22255,10827.1996766329
32115,79,37.25,3.75,0,1110.93645,12479.2705522776
32251,80,37.75,-3.25,0.0298440729200197,625.74115,488577.010542899
32252,81,37.75,-2.75,0.0228347249876376,1760.524825,109365.037590452
32253,82,37.75,-2.25,0.0214497317314964,1257.541525,189233.155295916
32254,83,37.75,-1.75,0.00245890760843739,960.7225,367309.483743668
32255,84,37.75,-1.25,0.00635030231712057,1374.490225,378218.500302315
32256,85,37.75,-0.75,0.00553955039854322,2404.009575,288148.219829954
32257,86,37.75,-0.25,0.00839167924700839,2753.2565,850402.5996599
32258,87,37.75,0.25,0.0174001070215495,3755.760825,1046904.70838627
32259,88,37.75,0.75,0.00788026217716407,661.25265,47081.6201565266
32260,89,37.75,1.25,0,583.74605,10665.4396510869
32261,90,37.75,1.75,0,571.98436,15952.7666268051
32262,91,37.75,2.25,0.0485652382568587,5017.421,30440.0838665366
32263,92,37.75,2.75,0,1679.773575,8421.19990946352
32264,93,37.75,3.25,0,2184.453725,6003.49774685502
32265,94,37.75,3.75,0,1364.678925,13226.7731307745
32399,95,38.25,-3.75,0.0198418539445106,792.456125,29224.4970571361
32400,96,38.25,-3.25,0.0322283733089428,1475.47735,133112.317418881
32401,97,38.25,-2.75,0.0265384602165929,835.511625,85543.8004353202
32402,98,38.25,-2.25,0.00186480391688251,680.272475,114655.161811255
32403,99,38.25,-1.75,0,988.474525,185124.025990963
32404,100,38.25,-1.25,0.0100266770071517,1697.73995,282347.903343201
32405,101,38.25,-0.75,0.00789677415088461,1446.504325,183411.986899376
32406,102,38.25,-0.25,0,1105.5019,106161.834792584
32407,103,38.25,0.25,0,1946.00735,115419.411351919
