"ID","rownumber","x","y","productivity","rugg","pop"
21992,71,5.25,18.25,0,30.2609825,3044.58119189739
21993,72,5.25,18.75,0,8.25082,3035.70424771309
21994,73,5.25,19.25,0,2.24977,2181.30535647273
22071,74,5.75,14.25,0.00711954849322326,2045.75115,427344.651931763
22072,75,5.75,14.75,0.0122217887318715,2068.227175,302652.019012451
22073,76,5.75,15.25,0.00397964159106133,1867.6645,101430.461513519
22074,77,5.75,15.75,0.0157226232611081,1181.0032,62087.3342685699
22075,78,5.75,16.25,0,126.288495,50303.0982627273
22076,79,5.75,16.75,0,93.760715,2690.67159950733
22077,80,5.75,17.25,0,65.24669,2940.89248919487
22078,81,5.75,17.75,0,31.24307,3053.22629886866
22079,82,5.75,18.25,0,9.2535175,3044.58119952679
22080,83,5.75,18.75,0,15.0023875,3038.21360373497
22081,84,5.75,19.25,0.0694264023220782,19.9987975,3393.67295826972
22161,85,6.25,13.75,0.0059084450580494,578.150425,385950.45359087
22162,86,6.25,14.25,0.0222268353224853,1184.808775,423465.597927094
22163,87,6.25,14.75,0.0273467675954504,3264.1395,263569.251253128
22164,88,6.25,15.25,0.0182316768819236,251.744325,85744.0047149658
22165,89,6.25,15.75,0,90.9818075,84922.6119346619
22166,90,6.25,16.25,0,94.025405,57587.9205974936
22167,91,6.25,16.75,0,82.509695,4983.05708473921
22168,92,6.25,17.25,0,52.49799,3061.63887619972
22169,93,6.25,17.75,0,32.49262275,3543.53088378906
22170,94,6.25,18.25,0,14.0045825,5360.88639742136
22171,95,6.25,18.75,0,11.502255,5267.04658836126
22172,96,6.25,19.25,0,2.24977,5599.06299710274
22173,97,6.25,19.75,0,53.73412825,3765.37553028762
22252,98,6.75,13.25,0.00552456810742431,836.22265,383666.058654785
22253,99,6.75,13.75,0.00283382942767546,807.855575,335468.785324097
22254,100,6.75,14.25,0,819.221225,202236.983673096
22255,101,6.75,14.75,0.0122101454912527,719.5967,143539.420417786
22256,102,6.75,15.25,0,114.7460325,46412.7340103388
22257,103,6.75,15.75,0,62.48866275,24810.3172929287
22258,104,6.75,16.25,0,40.761935,11289.6209959388
22259,105,6.75,16.75,0,13.75122,3069.81831121445
22260,106,6.75,17.25,0.256505784831093,25.49872,3061.63887709379
22261,107,6.75,17.75,1.01659059851587,46.4908225,4146.88923943043
22262,108,6.75,18.25,0,23.25801,5632.33460021019
22263,109,6.75,18.75,0,55.006939,5615.91265702248
22264,110,6.75,19.25,0,39.7474725,5599.06299066544
22265,111,6.75,19.75,0,87.72527,5581.78700089455
22266,112,6.75,20.25,0,138.80513,3154.41793997586
22346,113,7.25,13.25,0.0266055136056515,116.49651,474027.046391904
22347,114,7.25,13.75,0.0197760948960194,354.429,596799.12783432
22348,115,7.25,14.25,0,638.413275,245271.014022827
22349,116,7.25,14.75,0,1020.86105,167075.415271759
22350,117,7.25,15.25,0,57.498425,33844.6475992799
22351,118,7.25,15.75,0,53.9895075,3113.61684453487
