NaN,NaN,NaN,NaN,14.739,NaN,NaN,NaN,NaN,7176,NaN,NaN,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,1474.3,680.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5876e+09,NaN,NaN,NaN,NaN,1.1598e+11,NaN,NaN,NaN,NaN,2.6779e+11,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5869e+09,NaN,NaN,NaN,NaN,1.1599e+11,NaN,NaN,NaN,NaN,2.6779e+11,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.56706,NaN,NaN,NaN,NaN,4.7596,NaN,NaN,NaN,NaN,5.9949,3.4523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,123.74,129.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.10614,1.1571,1.3258,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,2.1399,NaN,NaN,NaN,0.012942,0.65841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0604e+08,2.395e+08,1.0616e+08,NaN,NaN,NaN,NaN,5.1106e+08,NaN,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0604e+08,2.3949e+08,1.0616e+08,NaN,NaN,NaN,NaN,5.1112e+08,NaN,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043256,0.4631,Inf,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,0.1731,0.12831,NaN,NaN,NaN,NaN,0.19227,NaN,NaN,NaN,Inf,0.14143,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.18481,0.015106,0.007797,NaN,NaN,0.050752,NaN,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,NaN,Inf,NaN,16.968,NaN,NaN,0.0033408,0.015429,0.013482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0466e+08,3.185e+06,1.1942e+06,NaN,NaN,Inf,NaN,2.9292e+09,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0467e+08,3.1849e+06,1.1942e+06,NaN,NaN,Inf,NaN,2.9292e+09,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.077054,Inf,Inf,NaN,NaN,0.024074,NaN,4.1878,NaN,NaN,Inf,0.02146,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,NaN,Inf,NaN,1.191,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.052746,0.044839,0.033223,NaN,NaN,0.036405,NaN,0.026888,NaN,NaN,0.026892,0.024161,0.022929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,NaN,Inf,NaN,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,NaN,Inf,NaN,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,NaN,Inf,NaN,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,NaN,Inf,NaN,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,NaN,Inf,NaN,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1341,0.0059745,0.0054426,NaN,NaN,Inf,NaN,0.0013053,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,NaN,43.419,NaN,Inf,NaN,NaN,36.683,11.184,3.0203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5901e+08,1.3969e+06,Inf,NaN,NaN,5.0043e+09,NaN,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.59e+08,1.3969e+06,Inf,NaN,NaN,5.0043e+09,NaN,Inf,NaN,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24836,Inf,Inf,NaN,NaN,1.9987,NaN,Inf,NaN,NaN,0.55304,0.33997,0.097657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,Inf,NaN,NaN,2.8663,NaN,Inf,NaN,NaN,Inf,2.2088,Inf,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4318,0.0041252,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,NaN,NaN,NaN,22.384,NaN,NaN,NaN,NaN,47.315,26.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9528e+08,1.2511e+06,NaN,NaN,NaN,1.012e+09,NaN,NaN,NaN,NaN,1.1918e+10,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9528e+08,1.2507e+06,NaN,NaN,NaN,1.0119e+09,NaN,NaN,NaN,NaN,1.192e+10,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14984,Inf,NaN,NaN,NaN,0.32704,NaN,NaN,NaN,NaN,0.87265,0.45543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,NaN,NaN,NaN,0.81792,NaN,NaN,NaN,NaN,3.8689,3.6434,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.998,184.97,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,71.839,NaN,NaN,NaN,1.6216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2033e+09,8.4093e+09,NaN,NaN,NaN,NaN,1.3779e+10,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2029e+09,8.4091e+09,NaN,NaN,NaN,NaN,1.3781e+10,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.891,219.79,NaN,NaN,NaN,NaN,57.72,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.79736,1.3291,NaN,NaN,NaN,NaN,1.178,NaN,NaN,NaN,0.14011,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.027758,0.15123,Inf,NaN,NaN,0.0060822,NaN,Inf,NaN,NaN,0.00037168,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,26.859,NaN,NaN,Inf,NaN,0.0048423,NaN,NaN,Inf,0.0020631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2771e+07,2.6433e+07,3.0746e+09,NaN,NaN,Inf,NaN,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2785e+07,2.6438e+07,3.0746e+09,NaN,NaN,Inf,NaN,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034366,Inf,5.3306,NaN,NaN,Inf,NaN,Inf,NaN,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,0.044158,1.3247,NaN,NaN,Inf,NaN,0.0059359,NaN,NaN,Inf,Inf,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.57001,Inf,2.8714,NaN,NaN,1.7867,NaN,Inf,NaN,0.42491,0.00078513,0.46945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,30.823,Inf,NaN,NaN,Inf,NaN,8.189,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0847e+08,3.1532e+09,6.4746e+08,NaN,NaN,4.8655e+08,NaN,Inf,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0847e+08,3.1532e+09,6.4757e+08,NaN,NaN,4.8703e+08,NaN,Inf,NaN,Inf,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11124,3.7393,Inf,NaN,NaN,0.097256,NaN,Inf,NaN,0.046682,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21528,1.3983,0.12642,NaN,NaN,Inf,NaN,0.16815,NaN,Inf,Inf,0.015155
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,0.0037656,0.0050819,NaN,NaN,5.2872,NaN,0.002579,NaN,2.7204,0.15558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.156,Inf,Inf,NaN,NaN,Inf,NaN,Inf,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9011e+09,5.8142e+05,Inf,NaN,NaN,5.01e+08,NaN,Inf,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9011e+09,5.8144e+05,Inf,NaN,NaN,5.0124e+08,NaN,Inf,NaN,Inf,Inf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5921,Inf,Inf,NaN,NaN,0.12458,NaN,Inf,NaN,0.10838,0.019056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2705,Inf,Inf,NaN,NaN,Inf,NaN,Inf,NaN,Inf,Inf
