"from","to","dist","dur","share_unnamed","X.gmapdist.","X.gmapdur."
56,72,141.0268,240.025,1,NA,NA
56,73,375.4143,365.658333333333,0.627786056041567,NA,NA
57,58,96.8208,91.4816666666667,0.591287202749822,NA,NA
57,72,95.0564,105.465,0.880689779962212,NA,NA
57,73,167.137,208.748333333333,0.719270849225994,NA,NA
57,74,93.6348,90.9233333333333,0.611406229307907,NA,NA
58,59,80.5123,117.73,0.446013838879277,NA,NA
58,73,149.46,173.205,0.421302302490501,NA,NA
58,74,75.9578,55.38,0,NA,NA
58,75,114.5992,229.881666666667,0.766865940716915,NA,NA
59,74,156.4701,173.16,0.229497667284463,NA,NA
59,75,141.6776,309.845,0.873757653826472,NA,NA
59,76,206.7094,465.926666666667,0.913474097911462,NA,NA
60,61,22.4962,53.9933333333333,1,NA,NA
60,75,141.6776,309.845,0.873757653826472,NA,NA
60,77,70.8378,170.005,1,NA,NA
61,77,48.3416,116.011666666667,1,NA,NA
61,78,111.4799,267.573333333333,1,NA,NA
62,63,32.3223,77.8566666666667,1,NA,NA
62,79,92.1419,364.75,0.737911050335352,NA,NA
63,64,21.5223,51.5816666666667,0.996877657127723,NA,NA
63,78,77.9481,371.115,0.861424460634704,NA,NA
63,79,72.1931,336.585,0.850377874924508,NA,NA
63,80,87.5254,99.1216666666667,0.133005961697976,NA,NA
64,79,70.2983,332.238333333333,0.847300717087042,NA,NA
65,82,8.3975,50.38,1,NA,NA
67,83,27.6506,331.801666666667,1,NA,NA
67,84,159.8548,318.621666666667,1,NA,NA
68,83,135.2152,341.493333333333,1,NA,NA
68,84,115.3444,222.275,1,NA,NA
68,85,87.2735,184.755,1,NA,NA
69,70,114.3486,364.038333333333,1,NA,NA
69,87,95.335,286.44,1,NA,NA
69,88,91.8837,456.778333333333,1,NA,NA
69,89,113.4937,419.893333333333,1,NA,NA
70,71,148.4444,173.033333333333,1,NA,NA
70,88,149.4992,647.995,1,NA,NA
70,89,122.1667,157.811666666667,1,NA,NA
70,90,90.0273,123.393333333333,1,NA,NA
71,72,177.7143,220.891666666667,1,NA,NA
71,89,138.4291,166.295,1,NA,NA
71,90,86.2551,126.843333333333,1,NA,NA
71,91,161.3847,200.993333333333,1,NA,NA
72,73,239.1983,255.07,0.803843759628525,NA,NA
72,90,110.0461,135.23,1,NA,NA
72,91,70.048,69.3533333333333,1,NA,NA
72,92,262.5804,251.866666666667,0.821311042755302,NA,NA
73,74,73.5022,117.836666666667,0.856680480312154,NA,NA
73,91,300.861,311.778333333333,0.844046918676731,NA,NA
73,92,90.603,127.41,1,NA,NA
73,93,157.1772,199.638333333333,0.582733373542727,NA,NA
74,75,190.557,285.265,0.461186174642666,NA,NA
74,92,96.8843,114.621666666667,0.891269276859099,NA,NA
74,93,104.776,96.7366666666667,0.273178017866687,NA,NA
74,94,107.0687,150.975,0.414723831263321,NA,NA
75,76,65.0318,156.081666666667,1,NA,NA
75,93,295.333,382.018333333333,0.39448588542425,NA,NA
75,94,297.6257,436.256666666667,0.444471510515224,NA,NA
75,95,80.7784,193.873333333333,1,NA,NA
76,77,25.5762,61.38,1,NA,NA
76,94,362.6575,592.348333333333,0.544088994185697,NA,NA
76,95,15.7466,37.7916666666667,1,NA,NA
76,96,23.7032,56.885,1,NA,NA
77,78,63.1383,151.561666666667,1,NA,NA
78,79,5.7549,34.53,1,NA,NA
78,98,256.1103,677.813333333333,0.391215035084493,NA,NA
79,80,114.8324,359.648333333333,0.433240473281472,NA,NA
79,97,403.5607,891.236666666667,0.521346236476009,NA,NA
79,98,250.3553,643.283333333333,0.377220693949759,NA,NA
79,99,161.987,403.87,0.307123600735615,NA,NA
80,98,135.523,283.635,0.329753621156556,NA,NA
80,99,47.1546,44.2216666666667,0,NA,NA
80,100,151.7548,165.421666666667,0.0580403005108896,NA,NA
81,82,4.1928,25.1533333333333,1,NA,NA
81,99,105.0388,122.19,0.0876380918289242,NA,NA
81,101,54.4074,79.9733333333333,0.169194207394964,NA,NA
82,100,41.6408,60.465,0.211520912182283,NA,NA
83,84,19.8708,119.218333333333,1,NA,NA
83,101,1617.1935,1574.30833333333,0.409796390487818,NA,NA
83,103,75.7283,252.245,1,NA,NA
84,85,146.0926,322.158333333333,1,NA,NA
84,102,1643.6237,1564.91166666667,0.391117054888108,NA,NA
84,103,55.8575,133.026666666667,1,NA,NA
84,104,1846.6686,2477.96833333333,0.387155888484172,NA,NA
85,103,180.1017,324.065,1,NA,NA
85,104,1810.7756,2434.7,0.375008124970972,NA,NA
86,104,1863.2487,2481.65333333333,0.375841111503735,NA,NA
86,106,114.4364,196.563333333333,0.198113537301069,NA,NA
87,88,72.6528,342.9,1,NA,NA
87,107,94.1406,162.376666666667,1,NA,NA
87,108,256.8104,347.03,1,NA,NA
88,89,164.8291,565.031666666667,1,NA,NA
88,107,139.1369,482.311666666667,1,NA,NA
88,108,154.3242,566.628333333333,1,NA,NA
88,109,139.4116,522.098333333333,1,NA,NA
89,90,80.0144,116.748333333333,1,NA,NA
89,108,133.2908,225.2,1,NA,NA
89,109,77.8595,132.351666666667,1,NA,NA
89,110,106.6002,308.836666666667,1,NA,NA
90,91,93.7165,115.563333333333,1,NA,NA
90,109,122.0212,163.425,1,NA,NA
90,110,100.9387,260.218333333333,1,NA,NA
90,111,181.5362,218.905,1,NA,NA
91,92,324.1452,308.43,0.855249437597719,NA,NA
91,110,184.9681,329.6,1,NA,NA
91,111,87.8197,103.341666666667,1,NA,NA
91,112,501.1556,427.911666666667,0.554840363918983,NA,NA
92,93,180.5593,196.45,0.636768640551885,NA,NA
92,111,412.0628,411.931666666667,0.886133375786409,NA,NA
92,112,349.678,333.816666666667,0.496280434079477,NA,NA
92,113,210.3044,194.69,0.410604818539222,NA,NA
93,94,86.5152,159.203333333333,0.844087512945702,NA,NA
93,112,226.3637,223.288333333333,0.511605222747827,NA,NA
93,113,86.9902,84.1616666666667,0.329031694411203,NA,NA
93,114,93.3539,147.311666666667,0.674240363006112,NA,NA
94,95,378.4041,630.011666666667,0.563060908447057,NA,NA
94,113,116.2604,157.396666666667,0.381935191978689,NA,NA
94,114,122.6241,220.546666666667,0.641997488256785,NA,NA
94,115,202.7742,358.4,0.581762661010454,NA,NA
95,114,412.2203,637.293333333333,0.492409154136551,NA,NA
95,115,492.3704,775.146666666667,0.491953109275681,NA,NA
96,115,500.327,794.24,0.500032478765383,NA,NA
97,118,60.0371,102.336666666667,1,NA,NA
98,99,88.3683,239.575,0.698554349117615,NA,NA
98,117,245.9051,640.493333333333,1,NA,NA
98,118,215.9277,567.278333333333,1,NA,NA
98,119,124.1092,378.061666666667,0.79917604818982,NA,NA
99,100,104.6002,121.2,0.084205303426472,NA,NA
99,118,213.4397,418.575,0.620835185923532,NA,NA
99,119,103.7417,161.106666666667,0.21990075360173,NA,NA
99,120,88.1191,157.818333333333,0.46457237988132,NA,NA
100,101,54.0098,79.02,0.16307966332036,NA,NA
100,119,116.9946,195.38,0.47791094631718,NA,NA
100,120,98.3566,189.305,0.505767787825118,NA,NA
100,121,109.2674,263.95,1,NA,NA
101,102,46.301,109.821666666667,0,NA,NA
101,120,134.7506,225.933333333333,0.303803471004953,NA,NA
101,121,55.2575,184.93,0.772232235927728,NA,NA
101,122,104.0742,136.38,0.165620940404172,NA,NA
102,103,1677.6194,1566.30666666667,0.35237044486304,NA,NA
102,121,76.4405,257.178333333333,0.55858478162754,NA,NA
102,122,57.1457,135.491666666667,0.301630743870492,NA,NA
102,123,83.7077,134.493333333333,0,NA,NA
103,104,1880.6778,2479.79166666667,0.398238209743412,NA,NA
103,122,1735.4061,1593.29333333333,0.399961288602058,NA,NA
103,123,1761.9681,1592.295,0.384149066035872,NA,NA
103,124,1810.8148,2092.37833333333,0.37388971936223,NA,NA
104,123,118.7097,887.44,0.607358629799106,NA,NA
104,124,74.3927,393.23,0.973254060215667,NA,NA
104,125,117.9319,447.321666666667,0.743067603479299,NA,NA
105,106,38.1903,91.665,1,NA,NA
